key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-no-greek-no-html	crum-page	crum-column	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
2580	1	0	(B) T ..ou.	0		give light /$gk: [[fwtizein]]$/	fwtizein	481a	11	2010-03-02	1900-01-01	vagrant		(B) ϯ ⲟⲩ.	(B) ϯ ⲟⲩ.	(B) ϯ ⲟⲩ.	(B) ϯ ⲟⲩ.	(B) ϯ ⲟⲩ.	-	φωτιζειν	give light [φωτιζειν]	give light [φωτιζειν]	give light	give light	481	a						ϯ ⲟⲩ.					0
2581	1	0	Ji ..ou.,Gi ..ou.	0		take, get light		481a	12	2010-03-02	1900-01-01	vagrant		ϫⲓ ⲟⲩ., ϭⲓ ⲟⲩ.	ϫⲓ ⲟⲩ., ϭⲓ ⲟⲩ.	ϫⲓ ⲟⲩ., ϭⲓ ⲟⲩ.	ϫⲓ ⲟⲩ., ϭⲓ ⲟⲩ.	ϫⲓ ⲟⲩ., ϭⲓ ⲟⲩ.	-		take, get light	take, get light	take, get light	take, get light	481	a											0
2582	1	0	(sA) tr..ou.	2		shine		481a	13	2010-03-02	1900-01-01	vagrant		(sA) ⲧⲣⲟⲩ.	(sA) ⲧⲣⲟⲩ.	(sA) ⲧⲣⲟⲩ.	(sA) ⲧⲣⲟⲩ.	(sA) ⲧⲣⲟⲩ.	verb		shine	shine	shine	shine	481	a					ⲧⲣⲟⲩ.						0
4806	2	0		99	With following preposition:	With following preposition:		393a	1	2010-04-10	1900-01-01	vagrant							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	393	a											0
4807	2	4806	(S,A,sA,B,F) ^^ e-	0	{intr:}  /$gk: [[danizein]]$/ | {tr:} give to	{intr:}  /$gk: [[danizein]]$/ | {tr:} give to	danizein	393a	2	2010-04-10	1900-01-01	vagrant		(S, A, sA, B, F) ― ⲉ-	(S, A, sA, B, F) ― ⲉ-	(S, A, sA, B, F) ― ⲉ-	(S, A, sA, B, F) ― ⲉ-	(S, A, sA, B, F) ― ⲉ-	-	δανιζειν	"<b>intr:</b> [δανιζειν]
<b>tr:</b> give to"	"intr: [δανιζειν]
tr: give to"	"<b>intr:</b> 
<b>tr:</b> give to"	"intr: 
tr: give to"	393	a	― ⲉ-			― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-				1
4808	2	4806	(S) ^^ ern-	0	go toward	go toward		393b	3	2010-04-10	1900-01-01	vagrant		(S) ― ⲉⲣⲛ-	(S) ― ⲉⲣⲛ-	(S) ― ⲉⲣⲛ-	(S) ― ⲉⲣⲛ-	(S) ― ⲉⲣⲛ-	-		go toward	go toward	go toward	go toward	393	b	― ⲉⲣⲛ-										1
4809	2	4806	(S,sA,B) ^^ etn- *^[etoot= n-]^*	0	{intr:} lay upon, command | {tr:} give into hands, entrust	{intr:} lay upon, command | {tr:} give into hands, entrust		393b	4	2010-04-10	1900-01-01	vagrant		(S, sA, B) ― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}	(S, sA, B) ― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}	(S, sA, B) ― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}	(S, sA, B) ― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}	(S, sA, B) ― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}	-		"<b>intr:</b> lay upon, command
<b>tr:</b> give into hands, entrust"	"intr: lay upon, command
tr: give into hands, entrust"	"<b>intr:</b> lay upon, command
<b>tr:</b> give into hands, entrust"	"intr: lay upon, command
tr: give into hands, entrust"	393	b	― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}				― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}	― ⲉⲧⲛ- {ⲉⲧⲟⲟⲧ⸗ ⲛ-}					1
4810	2	4806	(S,B) ^^ eJn-	0	put upon, add to, on behalf of |$ {tr:} |$ {intr:} | pay for | fight for	put upon, add to, on behalf of |$ {tr:} |$ {intr:} | pay for | fight for		393b	5	2010-04-10	1900-01-01	vagrant		(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	(S, B) ― ⲉϫⲛ-	-		"put upon, add to, on behalf of
― <b>tr:</b>
― <b>intr:</b>
pay for
fight for"	"put upon, add to, on behalf of
― tr:
― intr:
pay for
fight for"	"put upon, add to, on behalf of
― <b>tr:</b>
― <b>intr:</b>
pay for
fight for"	"put upon, add to, on behalf of
― tr:
― intr:
pay for
fight for"	393	b	― ⲉϫⲛ-					― ⲉϫⲛ-					1
4811	2	4806	(S,B) ^^ mn-,^^ nem-	0	fight with /$gk: [[polemein, anqistanai]]$/	fight with /$gk: [[polemein, anqistanai]]$/	polemein, anqistanai	393b	6	2010-04-10	1900-01-01	vagrant		(S, B) ― ⲙⲛ-, ― ⲛⲉⲙ-	(S, B) ― ⲙⲛ-, ― ⲛⲉⲙ-	(S, B) ― ⲙⲛ-, ― ⲛⲉⲙ-	(S, B) ― ⲙⲛ-, ― ⲛⲉⲙ-	(S, B) ― ⲙⲛ-, ― ⲛⲉⲙ-	-	πολεμειν, ανθισταναι	fight with [πολεμειν, ανθισταναι]	fight with [πολεμειν, ανθισταναι]	fight with	fight with	393	b	― ⲙⲛ-, ― ⲛⲉⲙ-					― ⲙⲛ-, ― ⲛⲉⲙ-					1
4812	2	4806	(S,sA,B) ^^ nsa-	0	{intr:} go after, pursue | {tr:} give to, upon, pursue	{intr:} go after, pursue | {tr:} give to, upon, pursue		394a	7	2010-04-10	1900-01-01	vagrant		(S, sA, B) ― ⲛⲥⲁ-	(S, sA, B) ― ⲛⲥⲁ-	(S, sA, B) ― ⲛⲥⲁ-	(S, sA, B) ― ⲛⲥⲁ-	(S, sA, B) ― ⲛⲥⲁ-	-		"<b>intr:</b> go after, pursue
<b>tr:</b> give to, upon, pursue"	"intr: go after, pursue
tr: give to, upon, pursue"	"<b>intr:</b> go after, pursue
<b>tr:</b> give to, upon, pursue"	"intr: go after, pursue
tr: give to, upon, pursue"	394	a	― ⲛⲥⲁ-				― ⲛⲥⲁ-	― ⲛⲥⲁ-					1
4813	2	4806	(S,sA,B) ^^ ntn-	0	entrust to | support | give in, decrease	entrust to | support | give in, decrease		394a	8	2010-04-10	1900-01-01	vagrant		(S, sA, B) ― ⲛⲧⲛ-	(S, sA, B) ― ⲛⲧⲛ-	(S, sA, B) ― ⲛⲧⲛ-	(S, sA, B) ― ⲛⲧⲛ-	(S, sA, B) ― ⲛⲧⲛ-	-		"entrust to
support
give in, decrease"	"entrust to
support
give in, decrease"	"entrust to
support
give in, decrease"	"entrust to
support
give in, decrease"	394	a	― ⲛⲧⲛ-				― ⲛⲧⲛ-	― ⲛⲧⲛ-					1
4814	2	4806	(S,A,sA,B,F) ^^ oube-	0	fight against /$gk: [[polemein, anqistanai, antikeisqai]]$/	fight against /$gk: [[polemein, anqistanai, antikeisqai]]$/	polemein, anqistanai, antikeisqai	394a	9	2010-04-10	2012-04-30	vagrant	vagrant	(S, A, sA, B, F) ― ⲟⲩⲃⲉ-	(S, A, sA, B, F) ― ⲟⲩⲃⲉ-	(S, A, sA, B, F) ― ⲟⲩⲃⲉ-	(S, A, sA, B, F) ― ⲟⲩⲃⲉ-	(S, A, sA, B, F) ― ⲟⲩⲃⲉ-	-	πολεμειν, ανθισταναι, αντικεισθαι	fight against [πολεμειν, ανθισταναι, αντικεισθαι]	fight against [πολεμειν, ανθισταναι, αντικεισθαι]	fight against	fight against	394	a	― ⲟⲩⲃⲉ-			― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-	― ⲟⲩⲃⲉ-				1
6479	2	4814	(S) at..T oube.	0	not to be opposed	not to be opposed		394a	10	2010-07-22	1900-01-01	vagrant		(S) ⲁⲧϯ ⲟⲩⲃⲉ.	(S) ⲁⲧϯ ⲟⲩⲃⲉ.	(S) ⲁⲧϯ ⲟⲩⲃⲉ.	(S) ⲁⲧϯ ⲟⲩⲃⲉ.	(S) ⲁⲧϯ ⲟⲩⲃⲉ.	-		not to be opposed	not to be opposed	not to be opposed	not to be opposed	394	a	ⲁⲧϯ ⲟⲩⲃⲉ.										2
6480	2	4814	(B) reF..T oube.	0	opponent	opponent		394a	11	2010-07-22	1900-01-01	vagrant		(B) ⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲣⲉϥϯ ⲟⲩⲃⲉ.	-		opponent	opponent	opponent	opponent	394	a						ⲣⲉϥϯ ⲟⲩⲃⲉ.					2
6481	2	4814	(B) metreF..T oube.	0	opposition	opposition		394a	12	2010-07-22	1900-01-01	vagrant		(B) ⲙⲉⲧⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲙⲉⲧⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲙⲉⲧⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲙⲉⲧⲣⲉϥϯ ⲟⲩⲃⲉ.	(B) ⲙⲉⲧⲣⲉϥϯ ⲟⲩⲃⲉ.	-		opposition	opposition	opposition	opposition	394	a						ⲙⲉⲧⲣⲉϥϯ ⲟⲩⲃⲉ.					2
4815	2	4806	(S,B,F) ^^ Ha-,^^ Ka-	0	give, sell for | (as nn S)	give, sell for | (as nn S)		394a	13	2010-04-10	1900-01-01	vagrant		(S, B, F) ― ϩⲁ-, ― ϧⲁ-	(S, B, F) ― ϩⲁ-, ― ϧⲁ-	(S, B, F) ― ϩⲁ-, ― ϧⲁ-	(S, B, F) ― ϩⲁ-, ― ϧⲁ-	(S, B, F) ― ϩⲁ-, ― ϧⲁ-	-		"give, sell for
<i>as nn S</i>"	"give, sell for
as nn S"	"give, sell for
<i>as nn S</i>"	"give, sell for
as nn S"	394	a	― ϩⲁ-, ― ϧⲁ-					― ϩⲁ-, ― ϧⲁ-	― ϩⲁ-, ― ϧⲁ-				1
4816	2	4806	(S,A,B) ^^ Hi- (Sf,F) ^^ eHi-	0	lay upon, clothe /$gk: [[periballein]]$/ | fight for	lay upon, clothe /$gk: [[periballein]]$/ | fight for	periballein	394a	14	2010-04-10	2010-04-10	vagrant	vagrant	"(S, A, B) ― ϩⲓ-
(Sf, F) ― ⲉϩⲓ-"	"(S, A, B) ― ϩⲓ-
(Sf, F) ― ⲉϩⲓ-"	"(S, A, B) ― ϩⲓ-
(Sf, F) ― ⲉϩⲓ-"	"(S, A, B) ― ϩⲓ-
(Sf, F) ― ⲉϩⲓ-"	"(S, A, B) ― ϩⲓ-
(Sf, F) ― ⲉϩⲓ-"	-	περιβαλλειν	"lay upon, clothe [περιβαλλειν]
fight for"	"lay upon, clothe [περιβαλλειν]
fight for"	"lay upon, clothe 
fight for"	"lay upon, clothe 
fight for"	394	a	― ϩⲓ-		― ⲉϩⲓ-	― ϩⲓ-		― ϩⲓ-	― ⲉϩⲓ-				1
4817	2	4806	(S) ^^ Hatn-	0				394b	15	2010-04-10	1900-01-01	vagrant		(S) ― ϩⲁⲧⲛ-	(S) ― ϩⲁⲧⲛ-	(S) ― ϩⲁⲧⲛ-	(S) ― ϩⲁⲧⲛ-	(S) ― ϩⲁⲧⲛ-	-						394	b	― ϩⲁⲧⲛ-										1
4818	2	4806	(S,B,F) ^^ HiJn-	0	{intr:} give for, on behalf of /*?*/ | {tr:} put upon	{intr:} give for, on behalf of /*?*/ | {tr:} put upon		394b	16	2010-04-10	1900-01-01	vagrant		(S, B, F) ― ϩⲓϫⲛ-	(S, B, F) ― ϩⲓϫⲛ-	(S, B, F) ― ϩⲓϫⲛ-	(S, B, F) ― ϩⲓϫⲛ-	(S, B, F) ― ϩⲓϫⲛ-	-		"<b>intr:</b> give for, on behalf of (?)
<b>tr:</b> put upon"	"intr: give for, on behalf of (?)
tr: put upon"	"<b>intr:</b> give for, on behalf of (?)
<b>tr:</b> put upon"	"intr: give for, on behalf of (?)
tr: put upon"	394	b	― ϩⲓϫⲛ-					― ϩⲓϫⲛ-	― ϩⲓϫⲛ-				1
4819	2	0		99	With following adverb:	With following adverb:		394b	17	2010-04-10	1900-01-01	vagrant							HEADER		With following adverb:	With following adverb:	With following adverb:	With following adverb:	394	b											0
4820	2	4819	(S,A,sA,B,F) ^^ ebol	0	{intr:} give forth, away, sell /$gk: [[pwlein, pipraskein]]$/ | {tr:}  /$gk: [[pwlein, pipraskein]]$/ | (as nn), sale	{intr:} give forth, away, sell /$gk: [[pwlein, pipraskein]]$/ | {tr:}  /$gk: [[pwlein, pipraskein]]$/ | (as nn), sale	pwlein, pipraskein	394b	18	2010-04-10	2010-07-22	vagrant	vagrant	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	(S, A, sA, B, F) ― ⲉⲃⲟⲗ	-	πωλειν, πιπρασκειν	"<b>intr:</b> give forth, away, sell [πωλειν, πιπρασκειν]
<b>tr:</b> [πωλειν, πιπρασκειν]
<i>as nn</i>, sale"	"intr: give forth, away, sell [πωλειν, πιπρασκειν]
tr: [πωλειν, πιπρασκειν]
as nn, sale"	"<b>intr:</b> give forth, away, sell 
<b>tr:</b> 
<i>as nn</i>, sale"	"intr: give forth, away, sell 
tr: 
as nn, sale"	394	b	― ⲉⲃⲟⲗ			― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ				1
6482	2	4820	^^^ *^[ebol]^* e-	0	sell for, as | to | set, put forth upon	sell for, as | to | set, put forth upon		394b	19	2010-07-22	1900-01-01	vagrant		<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	c {ⲉⲃⲟⲗ} ⲉ-	c {ⲉⲃⲟⲗ} ⲉ-	{ⲉⲃⲟⲗ} ⲉ- (c)	-		"sell for, as
to
set, put forth upon"	"sell for, as
to
set, put forth upon"	"sell for, as
to
set, put forth upon"	"sell for, as
to
set, put forth upon"	394	b											2
6483	2	4820	^^^ *^[ebol]^* Ha-,^^^ *^[ebol]^* Ka-	0	for, against	for, against		394b	20	2010-07-22	1900-01-01	vagrant		<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-, <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲁ-	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-, <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲁ-	c {ⲉⲃⲟⲗ} ϩⲁ-, c {ⲉⲃⲟⲗ} ϧⲁ-	c {ⲉⲃⲟⲗ} ϩⲁ-, c {ⲉⲃⲟⲗ} ϧⲁ-	{ⲉⲃⲟⲗ} ϩⲁ-, {ⲉⲃⲟⲗ} ϧⲁ- (c)	-		for, against	for, against	for, against	for, against	394	b											2
6484	2	4820	^^^ *^[ebol]^* HiJn-	0	fight on behalf of	fight on behalf of		394b	21	2010-07-22	1900-01-01	vagrant		<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲛ-	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲛ-	c {ⲉⲃⲟⲗ} ϩⲓϫⲛ-	c {ⲉⲃⲟⲗ} ϩⲓϫⲛ-	{ⲉⲃⲟⲗ} ϩⲓϫⲛ- (c)	-		fight on behalf of	fight on behalf of	fight on behalf of	fight on behalf of	394	b											2
6485	2	4820	reF..T ebol.	0	seller	seller		394b	22	2010-07-22	1900-01-01	vagrant		ⲣⲉϥϯ ⲉⲃⲟⲗ.	ⲣⲉϥϯ ⲉⲃⲟⲗ.	ⲣⲉϥϯ ⲉⲃⲟⲗ.	ⲣⲉϥϯ ⲉⲃⲟⲗ.	ⲣⲉϥϯ ⲉⲃⲟⲗ.	-		seller	seller	seller	seller	394	b											2
4821	2	4819	(S,B) ^^ epesht	0	put, send downward /$gk: [[kataballein]]$/	put, send downward /$gk: [[kataballein]]$/	kataballein	395a	23	2010-04-10	1900-01-01	vagrant		(S, B) ― ⲉⲡⲉⲥⲏⲧ	(S, B) ― ⲉⲡⲉⲥⲏⲧ	(S, B) ― ⲉⲡⲉⲥⲏⲧ	(S, B) ― ⲉⲡⲉⲥⲏⲧ	(S, B) ― ⲉⲡⲉⲥⲏⲧ	-	καταβαλλειν	put, send downward [καταβαλλειν]	put, send downward [καταβαλλειν]	put, send downward	put, send downward	395	a	― ⲉⲡⲉⲥⲏⲧ					― ⲉⲡⲉⲥⲏⲧ					1
4822	2	4819	(B) ^^ epSwi	0	raise up	raise up		395a	24	2010-04-10	1900-01-01	vagrant		(B) ― ⲉⲡϣⲱⲓ	(B) ― ⲉⲡϣⲱⲓ	(B) ― ⲉⲡϣⲱⲓ	(B) ― ⲉⲡϣⲱⲓ	(B) ― ⲉⲡϣⲱⲓ	-		raise up	raise up	raise up	raise up	395	a						― ⲉⲡϣⲱⲓ					1
4823	2	4819	(S,A) ^^ epaHou	0	go backward	go backward		395a	25	2010-04-10	1900-01-01	vagrant		(S, A) ― ⲉⲡⲁϩⲟⲩ	(S, A) ― ⲉⲡⲁϩⲟⲩ	(S, A) ― ⲉⲡⲁϩⲟⲩ	(S, A) ― ⲉⲡⲁϩⲟⲩ	(S, A) ― ⲉⲡⲁϩⲟⲩ	-		go backward	go backward	go backward	go backward	395	a	― ⲉⲡⲁϩⲟⲩ			― ⲉⲡⲁϩⲟⲩ							1
4824	2	4819	(S) ^^ eqh	0	go forward, progress	go forward, progress		395a	26	2010-04-10	1900-01-01	vagrant		(S) ― ⲉⲑⲏ	(S) ― ⲉⲑⲏ	(S) ― ⲉⲑⲏ	(S) ― ⲉⲑⲏ	(S) ― ⲉⲑⲏ	-		go forward, progress	go forward, progress	go forward, progress	go forward, progress	395	a	― ⲉⲑⲏ										1
4825	2	4819	(S,A,sA,B,F) ^^ eHoun	0	give, hand in	give, hand in		395a	27	2010-04-10	1900-01-01	vagrant		(S, A, sA, B, F) ― ⲉϩⲟⲩⲛ	(S, A, sA, B, F) ― ⲉϩⲟⲩⲛ	(S, A, sA, B, F) ― ⲉϩⲟⲩⲛ	(S, A, sA, B, F) ― ⲉϩⲟⲩⲛ	(S, A, sA, B, F) ― ⲉϩⲟⲩⲛ	-		give, hand in	give, hand in	give, hand in	give, hand in	395	a	― ⲉϩⲟⲩⲛ			― ⲉϩⲟⲩⲛ	― ⲉϩⲟⲩⲛ	― ⲉϩⲟⲩⲛ	― ⲉϩⲟⲩⲛ				1
6486	2	4825	^^^ *^[eHoun]^* e-	0	into	into		395a	28	2010-07-22	1900-01-01	vagrant		<i><b>c</b></i> {ⲉϩⲟⲩⲛ} ⲉ-	<i><b>c</b></i> {ⲉϩⲟⲩⲛ} ⲉ-	c {ⲉϩⲟⲩⲛ} ⲉ-	c {ⲉϩⲟⲩⲛ} ⲉ-	{ⲉϩⲟⲩⲛ} ⲉ- (c)	-		into	into	into	into	395	a											2
