ϧⲱⲧⲉⲃ	ϧωτεβ						"cide
kill
homicide, parricide, germicidal, ecocide"		ϧⲱⲧⲉⲃ	
ⲕⲟⲧ	κοτ						"circum
around
circumference, circumlocution, circumnavigate"		ⲕⲟⲧ	
ⲟϩⲓ	οϩι						"constitutus
stand
constitution, statute"		ⲟϩⲓ	
ϩⲏ	ϩη	ϣολϩς	ϩν	ηϩητ	νϩν	νϧν	"corpus
body
corpse, corporeal punishment, corpus callosum"		ϩⲏ	
ⲁⲙⲁϩⲓ	αμαϩι						"cracy
rule
democracy, theocrat, technocracy"		ⲁⲙⲁϩⲓ	
ⲛⲁϩϯ	ναϩϯ						"credo
velief
credit, (see also roots section)"		ⲛⲁϩϯ	
ⲣⲱⲙⲓ	ρωμι						"demos
people
democracy, demographic"		ⲣⲱⲙⲓ	
`ⲥⲛⲁⲩ	`ςναυ						"di
two, double
dimorphism, dicotyledon, diatomic"		`ⲥⲛⲁⲩ	
`ⲥⲕⲉⲛ	`ςκεν						"dia
across, through
diagonal, dialectic, dialogue, diagnosis"		`ⲥⲕⲉⲛ	
ⲁ	α	`μπ					"dis
not, apart
disperse, disinherit, disenfranchise, distend"		ⲁ	
ϭⲟⲓⲥ	ϭοις	νηβ					"dominus
lord
dominant, dominion"		ϭⲟⲓⲥ	
`ϣ	`ϣ						"dynasthai
ve able
dynamic, dynamo, dynasty, dynamite"		`ϣ	
`ⲙⲙⲟ	`μμο						"ego
I, self
ego, egomaniac, egocentric,"		`ⲙⲙⲟ	
`ϩⲣⲏⲓ	`ϩρηι	`ϩρεν	ε				"epi
upon, over
epidermis, epidemic, epigram, epitaph, epithet, epiphyte, epistasis, epinephrine, epiphysis"		`ϩⲣⲏⲓ	
ⲥⲁⲃⲟⲗ	ςαβολ						"ex
out
exotic, exterior, extraneous, extemporaneous, exophalmic, exogenous, exothermic, exoskeleton"		ⲥⲁⲃⲟⲗ	
ⲥⲉⲙⲛⲓ	ςεμνι	ωϣ					"federis (see also Rootssection)
league, pact
federation, confederate"		ⲥⲉⲙⲛⲓ	
ⲥⲟⲛ	ςον						"frater
brother
fraternize, fraternity, fraternal, fratricide"		ⲥⲟⲛ	
ⲕⲁϩⲓ	καϩι						"geo
earth
geology, geography, geocentric, geomancy"		ⲕⲁϩⲓ	
`ⲥϧⲁⲓ	`ςϧαι						"graph (see also Roots section)
write, record
graphic, graphite, graphology,"		`ⲥϧⲁⲓ	
ⲙⲟⲩϫⲧ	μουϫτ	ατονι					"hetero
mixed, unlike
heterogeneous, heterosexual, heterodox, heterodont, hetero atom, heterocyclic, heterozygous,"		ⲙⲟⲩϫⲧ	
ⲟⲛⲓ	ονι						"homo
same, alike
homogeneous, homogenized, homozygous, homolytic fission, Homo sapiens, homonid, homeostasis"		ⲟⲛⲓ	
`ⲙⲙⲟ	`μμο						"idem
the same
identity, idiopathic, I, individual"		`ⲙⲙⲟ	
ⲙⲉⲩⲓ	μευι						"ideo
idea
ideology, ideation, ideal"		ⲙⲉⲩⲓ	
ⲫⲁ	φα	θα	να				"idios
one's own
idiom, idiosyncrasy, idiopathic"		ⲫⲁ	
ϧⲉⲛ	ϧεν						"in
in
incarcerate, incorporate, inculcate, induction, inductance, indigenous, indicator, inspiration"		ϧⲉⲛ	
ⲁⲛ	αν						"in, im
not
incredible, ignoble, inglorious, inhospitable, infinite, infinitesimal, immoral"		ⲁⲛ	
ⲟⲩⲧⲉ	ουτε						"inter
vetween
interact, interstellar, interpret, interstitial"		ⲟⲩⲧⲉ	
ⲁⲛⲥⲉⲙⲓ	ανςεμι						"legis (lex)
law
legal, legislature"		ⲁⲛⲥⲉⲙⲓ	
ⲥⲁϫⲓ	ςαϫι						"lexis
word
lexicon, lexicography"		ⲥⲁϫⲓ	
ⲣⲉⲙϩⲉ	ρεμϩε						"liver
free, book
liverty, library, liveral"		ⲣⲉⲙϩⲉ	
ⲙⲁ	μα						"locus
place
locality, local, circumlocution"		ⲙⲁ	
ϧⲱⲧ	ϧωτ						"macro
large
macroeconomics, macroscopic, macrophage"		ϧⲱⲧ	
ⲗⲓⲃⲓ	λιβι						"mania (see Roots section also)
obsession
maniac, veatlemania"		ⲗⲓⲃⲓ	
ϣⲓ	ϣι						"meter (see Roots section also)
measure
metronome, speedometer, odometer"		ϣⲓ	
ⲕⲟⲩϫⲓ	κουϫι	μικρο					"micro
small
microscope, micron, micrometer, microorganism"		ⲕⲟⲩϫⲓ	
ⲟⲩⲱⲣⲡ	ουωρπ						"mittere, mitto (see Rootssection also)
send
mission, transmit, remit"		ⲟⲩⲱⲣⲡ	
ⲟⲩⲁⲓ	ουαι						"mono
one, single
monocle, monopoly, monogamy, monovalent, monomania, monarchy"		ⲟⲩⲁⲓ	
ⲙⲱⲟⲩⲧ	μωουτ						"mortis
death
mortician, mortuary, moribund, morvid"		ⲙⲱⲟⲩⲧ	
ⲣⲁⲛ	ραν						"nomen
name
noble, ignominy, nomenclature, nominal"		ⲣⲁⲛ	
ⲕⲟⲩϫⲓ	κουϫι						"olig
few
oligarchy, oligopoly"		ⲕⲟⲩϫⲓ	
ⲓⲱⲧ	ιωτ						"pater
father
paternal, paternity, patricide"		ⲓⲱⲧ	
ⲣⲁⲧ	ρατ						"ped (see Roots section also)
foot
pedestrian, pedal, pedicure, podiatrist"		ⲣⲁⲧ	
ⲕⲱⲧ	κωτ						"peri
around
peripatetic, periscope, perineum, peritoneum"		ⲕⲱⲧ	
ⲟⲩⲱⲙ	ουωμ						"phage (see Roots section also)
eat
phagocyte, phagocytosis"		ⲟⲩⲱⲙ	
ⲙⲁⲓ	μαι						"philo
love
philosophy, philanthropy"		ⲙⲁⲓ	
ⲙⲟⲥϯ	μοςϯ						phobos (see Roots section)		ⲙⲟⲥϯ	
ⲥⲱⲧⲉⲙ	ςωτεμ						phon (see Roots section)		ⲥⲱⲧⲉⲙ	
ϯ	ϯ						"polein
sell
monopoly"		ϯ	
ⲃⲁⲕⲓ	βακι						"polis (see Roots section also)
city
political, metropolitan"		ⲃⲁⲕⲓ	
ⲗⲁ	λα						"poly (see Roots section also)
many
polygamy, polyphonic, hoi polloi"		ⲗⲁ	
ⲟⲗ	ολ						"porto
carry
porter, export"		ⲟⲗ	
ϩⲓ`ⲧϩⲏ	ϩι`τϩη						"post
after
post script (p.s.), ex post facto, post hoc, post-mortem"		ϩⲓ`ⲧϩⲏ	
`ⲙⲡⲁⲧⲉ	`μπατε	ϧαϫω					"pre
vefore
premier, preview, premium, prescient"		`ⲙⲡⲁⲧⲉ	
`ⲙⲡⲁⲧⲉ	`μπατε	ϧαϫω	ε`ϩρηι ὲϫεν	ὲgεν	ϧα`τϩη		"pro
vefore, in favor of
project, projectile,"		`ⲙⲡⲁⲧⲉ	
ϩⲏⲧ	ϩητ						"psyche
mind, soul
psychology"		ϩⲏⲧ	
ⲣⲱⲙⲓ	ρωμι						"publicus
people
public, republic, pub, publican"		ⲣⲱⲙⲓ	
ⲓⲁⲣ	ιαρ						"riparia
river
riparian"		ⲓⲁⲣ	
ⲙⲟⲩϣⲧ	μουϣτ						"scope
examine
microscope, oscilloscope"		ⲙⲟⲩϣⲧ	
`ⲥϧⲓ	`ςϧι						"scribo (see Roots section also)
write
transcrive, scrive, script"		`ⲥϧⲓ	
ⲟⲩⲁⲓ	ουαι						"solus
alone
solo, solitary"		ⲟⲩⲁⲓ	
`ϧⲣⲏⲓ	`ϧρηι	ϩωϫπ	`νϫιουε				"subter
under, secret
subterfuge, subtle, subaltern, subterranean"		`ϧⲣⲏⲓ	
ⲛⲉⲙ	νεμ						"sin (sys vefore b, p, or m)
together, with
synchronize, symphony, sympathy, syncretic, syncope"		ⲛⲉⲙ	
`ⲫⲟⲩⲉⲓ	`φουει						"tele
distance
telegraph, telephone, teleology"		`ⲫⲟⲩⲉⲓ	
ⲥⲓⲛⲉ	ςινε						"trans
across
transport, transcend, transmogrify"		ⲥⲓⲛⲉ	
ⲛⲁⲛⲉ	νανε						"utilis
useful
utility, utilitarian"		ⲛⲁⲛⲉ	
ⲛⲁⲩ	ναυ						"vide, visivil, vis
see
video, vision, visible"		ⲛⲁⲩ	
ⲉⲣⲉϩⲛⲉ	ερεϩνε						"To aim to
have goal
يهدف إلى"		ⲉⲣⲉϩⲛⲉ	
ⲣⲉϥⲛⲁⲩ	ρεϥναυ						"viewer
مشاهد"		ⲣⲉϥⲛⲁⲩ	
ⲉⲣⲗⲁⲥ	ερλας						"pronounce
ينطق"		ⲉⲣⲗⲁⲥ	
ϥⲓ	ϥι						"invade
يغزو"		ϥⲓ	
ⲙⲟⲩⲛ ὲⲃⲟⲗ	μουν ὲβολ						"continue
still
يستمر
لا يزال"		ⲙⲟⲩⲛ ὲⲃⲟⲗ	
ⲕⲟⲧⲥⲓ	κοτςι						"gulf
خليج"		ⲕⲟⲧⲥⲓ	
ϩⲓⲧⲟⲩⲛ	ϩιτουν						"near
قريب"		ϩⲓⲧⲟⲩⲛ	
ⲙⲟⲗϧ	μολϧ						"compound
مركب"		ⲙⲟⲗϧ	
`ⲥⲙⲟⲧ	`ςμοτ						"adjective
صفة"		`ⲥⲙⲟⲧ	
ⲉⲣⲙⲏⲓⲛⲓ	ερμηινι						"indicate
يشير"		ⲉⲣⲙⲏⲓⲛⲓ	
ⲣⲉⲙ`ⲛⲓⲥⲗⲁⲙ	ρεμ`νιςλαμ						"muslim
مسلم"		ⲣⲉⲙ`ⲛⲓⲥⲗⲁⲙ	
ϧⲓⲥⲓ	ϧιςι	kʰisi	khisi	khisi	اسم	مذكر	"effort
إرهاق
جهد"		ϧⲓⲥⲓ (ⲡ)	(ⲡ)
