key	key-link	dawoud-pages	notes	senses	override-type
42	https://metremnqymi.com/crum/42.html	293a-293b			
43	https://metremnqymi.com/crum/43.html	125b-126b			
44	https://metremnqymi.com/crum/44.html	597a-597b			
45	https://metremnqymi.com/crum/45.html	571a-571b,594b-595a			
46	https://metremnqymi.com/crum/46.html	575a-575b,575b-576a			
47	https://metremnqymi.com/crum/47.html	748a-748b,738a,804a			
48	https://metremnqymi.com/crum/48.html	452a-452b			
49	https://metremnqymi.com/crum/49.html	403b-407a,407a,354a-355a,355a			
50	https://metremnqymi.com/crum/50.html	491a			
51	https://metremnqymi.com/crum/51.html	649b			
52	https://metremnqymi.com/crum/52.html	446a			
53	https://metremnqymi.com/crum/53.html	642b			
54	https://metremnqymi.com/crum/54.html	26a-27b			
55	https://metremnqymi.com/crum/55.html	410b-411b			
56	https://metremnqymi.com/crum/56.html	35b-36a			
57	https://metremnqymi.com/crum/57.html	87b			
58	https://metremnqymi.com/crum/58.html	684b,693a			
59	https://metremnqymi.com/crum/59.html	810b,753a			
60	https://metremnqymi.com/crum/60.html	811b-812a,754a-754b			
61	https://metremnqymi.com/crum/61.html	106a-107a			
62	https://metremnqymi.com/crum/62.html	567b-568a			
63	https://metremnqymi.com/crum/63.html	632b			
64	https://metremnqymi.com/crum/64.html	48b-49a,695b			
65	https://metremnqymi.com/crum/65.html	555a			
66	https://metremnqymi.com/crum/66.html	654a-654b			
67	https://metremnqymi.com/crum/67.html	627b-628b,628b,628b,628b			
68	https://metremnqymi.com/crum/68.html	240b-241b			
69	https://metremnqymi.com/crum/69.html	273a-273b			
70	https://metremnqymi.com/crum/70.html	153b,180b,35b,183a			
71	https://metremnqymi.com/crum/71.html	690b-691b			
72	https://metremnqymi.com/crum/72.html	117b-118b			
73	https://metremnqymi.com/crum/73.html	270b-271b			
74	https://metremnqymi.com/crum/74.html	277a-278a			
75	https://metremnqymi.com/crum/75.html	579a-579b			
76	https://metremnqymi.com/crum/76.html	268a-268b,268b-269a			
77	https://metremnqymi.com/crum/77.html	814a-814b			
78	https://metremnqymi.com/crum/78.html	166a,146a,139a			
79	https://metremnqymi.com/crum/79.html	714a-714b			
80	https://metremnqymi.com/crum/80.html	823b-824a			
81	https://metremnqymi.com/crum/81.html	168a,187b			
82	https://metremnqymi.com/crum/82.html	25b			
83	https://metremnqymi.com/crum/83.html	62a-62b,447b-448a,458b-459a			
84	https://metremnqymi.com/crum/84.html	261b			
85	https://metremnqymi.com/crum/85.html	218a-219a,204b-205a,208a			
86	https://metremnqymi.com/crum/86.html	1b			
87	https://metremnqymi.com/crum/87.html	177b-178b,140b-141a,149a			
88	https://metremnqymi.com/crum/88.html	209b-210b			
89	https://metremnqymi.com/crum/89.html	418a-418b			
90	https://metremnqymi.com/crum/90.html	636b-639a			
91	https://metremnqymi.com/crum/91.html	370a-371a,371a,350b			
92	https://metremnqymi.com/crum/92.html	2a,230a			
93	https://metremnqymi.com/crum/93.html	78b-79a,80b			
94	https://metremnqymi.com/crum/94.html	1a			
95	https://metremnqymi.com/crum/95.html	1b			
96	https://metremnqymi.com/crum/96.html				
97	https://metremnqymi.com/crum/97.html	1a,20a			
98	https://metremnqymi.com/crum/98.html	2a-2b,1b			
99	https://metremnqymi.com/crum/99.html				
100	https://metremnqymi.com/crum/100.html	650b			
101	https://metremnqymi.com/crum/101.html	676b-677a			
102	https://metremnqymi.com/crum/102.html	114b-116b,103b-104a,677b			
103	https://metremnqymi.com/crum/103.html	94b-95a			
104	https://metremnqymi.com/crum/104.html	585a			
105	https://metremnqymi.com/crum/105.html	812b-813a,755a			
106	https://metremnqymi.com/crum/106.html	541b			
107	https://metremnqymi.com/crum/107.html	619a			
108	https://metremnqymi.com/crum/108.html	92b-93a			
109	https://metremnqymi.com/crum/109.html	193a-194a			
110	https://metremnqymi.com/crum/110.html	214b-215a			
111	https://metremnqymi.com/crum/111.html	43a-43b			
112	https://metremnqymi.com/crum/112.html	768a,823a			
113	https://metremnqymi.com/crum/113.html	435a-435b,435b-436b,436b			
114	https://metremnqymi.com/crum/114.html	633a			
115	https://metremnqymi.com/crum/115.html	114b			
116	https://metremnqymi.com/crum/116.html	10a-10b,652b			
117	https://metremnqymi.com/crum/117.html	798a,740b			
118	https://metremnqymi.com/crum/118.html	167a-167b,187b,165b			
119	https://metremnqymi.com/crum/119.html	377b-378b			
120	https://metremnqymi.com/crum/120.html	712a-714a,655b			
122	https://metremnqymi.com/crum/122.html	607b-609a,609a-609b,594a-594b			
123	https://metremnqymi.com/crum/123.html	26a			
124	https://metremnqymi.com/crum/124.html	81b-82b,7b			
125	https://metremnqymi.com/crum/125.html	82b-83a,232a			
126	https://metremnqymi.com/crum/126.html	437a			
127	https://metremnqymi.com/crum/127.html	401a-401b			
128	https://metremnqymi.com/crum/128.html	59b-60a			
129	https://metremnqymi.com/crum/129.html	21a			
130	https://metremnqymi.com/crum/130.html	572a-573a			
131	https://metremnqymi.com/crum/131.html	800a-803b,745a-747b			
132	https://metremnqymi.com/crum/132.html	584a			
133	https://metremnqymi.com/crum/133.html	596a,596a,596a-597a			
134	https://metremnqymi.com/crum/134.html	618a-619a,619b-621b			
135	https://metremnqymi.com/crum/135.html	528b-529a,7a			
136	https://metremnqymi.com/crum/136.html	328b-329a			
137	https://metremnqymi.com/crum/137.html	212a-212b			
138	https://metremnqymi.com/crum/138.html	175b-177b			
139	https://metremnqymi.com/crum/139.html	517b-519b,507a-510a,513a-513b			
140	https://metremnqymi.com/crum/140.html	601b-602a			
141	https://metremnqymi.com/crum/141.html	832b-833a,789a			
142	https://metremnqymi.com/crum/142.html	506a-506b			
143	https://metremnqymi.com/crum/143.html	425b-426a			
144	https://metremnqymi.com/crum/144.html	279b-280a			
145	https://metremnqymi.com/crum/145.html	146b-148a			
146	https://metremnqymi.com/crum/146.html	502b-503b			
147	https://metremnqymi.com/crum/147.html	365a			
148	https://metremnqymi.com/crum/148.html	236b-238a,238a			
149	https://metremnqymi.com/crum/149.html	417a-418a			
150	https://metremnqymi.com/crum/150.html	751a-751b,807a			
151	https://metremnqymi.com/crum/151.html	758a-759a,815b,616a-616b			
152	https://metremnqymi.com/crum/152.html	419b			
153	https://metremnqymi.com/crum/153.html	109a-109b,519b			
154	https://metremnqymi.com/crum/154.html	805a,750b			
155	https://metremnqymi.com/crum/155.html	328a-328b			
156	https://metremnqymi.com/crum/156.html	589a			
157	https://metremnqymi.com/crum/157.html	170b-172a,145a,165b,151b-152a,138a,151a,138a			
158	https://metremnqymi.com/crum/158.html	839b			
159	https://metremnqymi.com/crum/159.html	153a-153b,152b			
160	https://metremnqymi.com/crum/160.html	496b-497b			
161	https://metremnqymi.com/crum/161.html	797a-797b			
162	https://metremnqymi.com/crum/162.html	536a			
163	https://metremnqymi.com/crum/163.html	42a			
164	https://metremnqymi.com/crum/164.html	581b			
165	https://metremnqymi.com/crum/165.html	56b			
166	https://metremnqymi.com/crum/166.html	721a,695b-696a			
167	https://metremnqymi.com/crum/167.html	469b-470b			
168	https://metremnqymi.com/crum/168.html	510a			
169	https://metremnqymi.com/crum/169.html	143b,144b-145a,136a-136b			
170	https://metremnqymi.com/crum/170.html	158a-158b,139b,35b			
171	https://metremnqymi.com/crum/171.html	3b			
172	https://metremnqymi.com/crum/172.html	742b			
173	https://metremnqymi.com/crum/173.html	354a			
174	https://metremnqymi.com/crum/174.html	385a-385b			
175	https://metremnqymi.com/crum/175.html	79a,229a			
176	https://metremnqymi.com/crum/176.html	454a,91b			
177	https://metremnqymi.com/crum/177.html	20a-20b			
178	https://metremnqymi.com/crum/178.html	590a-590b			
179	https://metremnqymi.com/crum/179.html	217a-217b,221a-221b			
180	https://metremnqymi.com/crum/180.html	53b-54a			
181	https://metremnqymi.com/crum/181.html	838b,453b			
182	https://metremnqymi.com/crum/182.html	363a			
183	https://metremnqymi.com/crum/183.html	478a-478b			
184	https://metremnqymi.com/crum/184.html	443a-444b			
186	https://metremnqymi.com/crum/186.html	524a,229b,682b-683a			
187	https://metremnqymi.com/crum/187.html	821a-822a			
188	https://metremnqymi.com/crum/188.html	740a			
189	https://metremnqymi.com/crum/189.html	635a			
190	https://metremnqymi.com/crum/190.html	682a			
191	https://metremnqymi.com/crum/191.html	810b-811a,753a-753b			
192	https://metremnqymi.com/crum/192.html	302a-304a			
193	https://metremnqymi.com/crum/193.html	571a			
194	https://metremnqymi.com/crum/194.html	732a,793a,797b			
195	https://metremnqymi.com/crum/195.html	704b-705a			
196	https://metremnqymi.com/crum/196.html	387a-388b			
197	https://metremnqymi.com/crum/197.html	592b-593a			
198	https://metremnqymi.com/crum/198.html	3b,122b-123a			
199	https://metremnqymi.com/crum/199.html	429b-430b			
200	https://metremnqymi.com/crum/200.html	501a			
201	https://metremnqymi.com/crum/201.html	323a-323b,323a,323a,325b-326b,326b,316a-316b,629a,629b,681b,449b			
202	https://metremnqymi.com/crum/202.html	42a			
203	https://metremnqymi.com/crum/203.html	254b-255b,38b			
204	https://metremnqymi.com/crum/204.html	66b			
205	https://metremnqymi.com/crum/205.html	729b			
206	https://metremnqymi.com/crum/206.html	455a-455b			
209	https://metremnqymi.com/crum/209.html	505b			
210	https://metremnqymi.com/crum/210.html	195a-196a			
211	https://metremnqymi.com/crum/211.html	252b-253a,839a			
212	https://metremnqymi.com/crum/212.html	86b,86b			
213	https://metremnqymi.com/crum/213.html	99b-100b			
214	https://metremnqymi.com/crum/214.html	467a			
216	https://metremnqymi.com/crum/216.html	375b-377a			
217	https://metremnqymi.com/crum/217.html	246a			
218	https://metremnqymi.com/crum/218.html	562a-562b			
219	https://metremnqymi.com/crum/219.html	253b-254b			
220	https://metremnqymi.com/crum/220.html	139b			
221	https://metremnqymi.com/crum/221.html	66a			
222	https://metremnqymi.com/crum/222.html	464b-465b			
223	https://metremnqymi.com/crum/223.html	764a-766a			
224	https://metremnqymi.com/crum/224.html	557a-558b			
225	https://metremnqymi.com/crum/225.html	631b-632a			
226	https://metremnqymi.com/crum/226.html	789b-790a,833b			
227	https://metremnqymi.com/crum/227.html	664b-665b			
228	https://metremnqymi.com/crum/228.html	440b-441a,441a-441b,441b,441b,441b-442a,442a-442b			
229	https://metremnqymi.com/crum/229.html	774a-776a			
230	https://metremnqymi.com/crum/230.html	380b-381b			
231	https://metremnqymi.com/crum/231.html	251a			
232	https://metremnqymi.com/crum/232.html	687b-688b			
233	https://metremnqymi.com/crum/233.html	426b			
234	https://metremnqymi.com/crum/234.html	166a-167a,183a-184b,172b,139a,36b,162a			
235	https://metremnqymi.com/crum/235.html	641b-642b			
236	https://metremnqymi.com/crum/236.html	70a-72b			
237	https://metremnqymi.com/crum/237.html	86b-87a,83b			
238	https://metremnqymi.com/crum/238.html	186b-187b,168a			
239	https://metremnqymi.com/crum/239.html	493a-493b,493b-494a,494a			
240	https://metremnqymi.com/crum/240.html	377a-377b			
241	https://metremnqymi.com/crum/241.html	65b,474b-475a,59b			
242	https://metremnqymi.com/crum/242.html	612b-613a,613a			
243	https://metremnqymi.com/crum/243.html	611b-612b,613a			
244	https://metremnqymi.com/crum/244.html	613a,555a			
245	https://metremnqymi.com/crum/245.html	57b			
246	https://metremnqymi.com/crum/246.html	74b			
247	https://metremnqymi.com/crum/247.html	428b-429b			
248	https://metremnqymi.com/crum/248.html	387a			
249	https://metremnqymi.com/crum/249.html	725b-726a,698b			
250	https://metremnqymi.com/crum/250.html	162b-163a,144a			
251	https://metremnqymi.com/crum/251.html	781a,603a			
252	https://metremnqymi.com/crum/252.html	55b-56a			
253	https://metremnqymi.com/crum/253.html	181a-182a,36b			
254	https://metremnqymi.com/crum/254.html	573a-573b,559b-560b			
255	https://metremnqymi.com/crum/255.html	573b-574a			
256	https://metremnqymi.com/crum/256.html	598a-598b,606b-607a			
257	https://metremnqymi.com/crum/257.html	33b,361b			
258	https://metremnqymi.com/crum/258.html	107b-108b,430b-431a			
259	https://metremnqymi.com/crum/259.html	101b			
260	https://metremnqymi.com/crum/260.html	174a-175b			
261	https://metremnqymi.com/crum/261.html	421a			
262	https://metremnqymi.com/crum/262.html	555b-556a			
263	https://metremnqymi.com/crum/263.html	477b			
264	https://metremnqymi.com/crum/264.html	515b-516a			
265	https://metremnqymi.com/crum/265.html	599a-599b			
266	https://metremnqymi.com/crum/266.html	574b-575a			
267	https://metremnqymi.com/crum/267.html	4b-5a,336a			
268	https://metremnqymi.com/crum/268.html	214b			
269	https://metremnqymi.com/crum/269.html	505a-505b			
270	https://metremnqymi.com/crum/270.html	72b-73b,64a-64b,58b,58b,56a,483b,483b,450a,453b			
271	https://metremnqymi.com/crum/271.html	62a,447a,458a-458b			
272	https://metremnqymi.com/crum/272.html	610a-610b			
273	https://metremnqymi.com/crum/273.html	614b-615a			
274	https://metremnqymi.com/crum/274.html	648a			
275	https://metremnqymi.com/crum/275.html	202b			
276	https://metremnqymi.com/crum/276.html	470b-471a			
277	https://metremnqymi.com/crum/277.html	588b			
278	https://metremnqymi.com/crum/278.html	15a			
279	https://metremnqymi.com/crum/279.html	544b,544b-545a			
280	https://metremnqymi.com/crum/280.html	560b-561a			
281	https://metremnqymi.com/crum/281.html	172b-173b,148b,140a,177b			
282	https://metremnqymi.com/crum/282.html	401b-402b			
284	https://metremnqymi.com/crum/284.html	409a-409b			
285	https://metremnqymi.com/crum/285.html	150b-151a,136a			
286	https://metremnqymi.com/crum/286.html	400a			
287	https://metremnqymi.com/crum/287.html	91a-91b			
288	https://metremnqymi.com/crum/288.html	172b,179b-180a			
289	https://metremnqymi.com/crum/289.html	13a			
290	https://metremnqymi.com/crum/290.html	379a			
291	https://metremnqymi.com/crum/291.html	548a-548b			
292	https://metremnqymi.com/crum/292.html	552a-553a			
294	https://metremnqymi.com/crum/294.html	252a			
295	https://metremnqymi.com/crum/295.html	656a			
296	https://metremnqymi.com/crum/296.html	400b			
297	https://metremnqymi.com/crum/297.html	199a			
299	https://metremnqymi.com/crum/299.html	450b-451a			
300	https://metremnqymi.com/crum/300.html	79b-80a			
301	https://metremnqymi.com/crum/301.html	514a			
302	https://metremnqymi.com/crum/302.html	400a-400b			
303	https://metremnqymi.com/crum/303.html	140b			
305	https://metremnqymi.com/crum/305.html				
306	https://metremnqymi.com/crum/306.html	262b,247a			
307	https://metremnqymi.com/crum/307.html	366b-367a,364b			
308	https://metremnqymi.com/crum/308.html	111b-112a			
309	https://metremnqymi.com/crum/309.html	421b-422a			
310	https://metremnqymi.com/crum/310.html	780a			
311	https://metremnqymi.com/crum/311.html	779b-780a			
312	https://metremnqymi.com/crum/312.html	703b,728b,656a			
313	https://metremnqymi.com/crum/313.html	388b-389a			
314	https://metremnqymi.com/crum/314.html	395b-397a			
315	https://metremnqymi.com/crum/315.html	210b-211b			
316	https://metremnqymi.com/crum/316.html	185b-186b,155b			
317	https://metremnqymi.com/crum/317.html	196b			
318	https://metremnqymi.com/crum/318.html	635a-635b			
319	https://metremnqymi.com/crum/319.html	59a			
320	https://metremnqymi.com/crum/320.html	610b-611a			
321	https://metremnqymi.com/crum/321.html	524b-526a,526a,526a-526b,526b,526b,526b			
322	https://metremnqymi.com/crum/322.html	398b-399a			
323	https://metremnqymi.com/crum/323.html	554a-554b,227a,39a			
324	https://metremnqymi.com/crum/324.html	339a-339b			
325	https://metremnqymi.com/crum/325.html	615b			
326	https://metremnqymi.com/crum/326.html	531a-533a			
327	https://metremnqymi.com/crum/327.html	773a,832a,824b			
328	https://metremnqymi.com/crum/328.html	264b-265b,250b			
329	https://metremnqymi.com/crum/329.html	265b-266a			
330	https://metremnqymi.com/crum/330.html	266a			
331	https://metremnqymi.com/crum/331.html	480b			
332	https://metremnqymi.com/crum/332.html	133b-135b			
333	https://metremnqymi.com/crum/333.html	595a-595b,595a			
334	https://metremnqymi.com/crum/334.html	678a			
335	https://metremnqymi.com/crum/335.html	420b-421a			
336	https://metremnqymi.com/crum/336.html	709a-709b			
337	https://metremnqymi.com/crum/337.html	483b-484a,484a-484b,468b,468b			
338	https://metremnqymi.com/crum/338.html	466a-467a			
339	https://metremnqymi.com/crum/339.html	515a			
340	https://metremnqymi.com/crum/340.html	481b-482a			
341	https://metremnqymi.com/crum/341.html	471b			
342	https://metremnqymi.com/crum/342.html	285a-285b,285b			
343	https://metremnqymi.com/crum/343.html	431a-432b			
344	https://metremnqymi.com/crum/344.html	73b-74a			
345	https://metremnqymi.com/crum/345.html	415b-416b			
346	https://metremnqymi.com/crum/346.html	611a-611b,614a-614b			
347	https://metremnqymi.com/crum/347.html	503b-504b			
348	https://metremnqymi.com/crum/348.html	226b			
350	https://metremnqymi.com/crum/350.html	214a			
351	https://metremnqymi.com/crum/351.html	653a-653b			
352	https://metremnqymi.com/crum/352.html	694b			
353	https://metremnqymi.com/crum/353.html	20b-21a			
354	https://metremnqymi.com/crum/354.html	615b			
355	https://metremnqymi.com/crum/355.html	594b			
356	https://metremnqymi.com/crum/356.html	322a-322b			
357	https://metremnqymi.com/crum/357.html	625a-625b			
358	https://metremnqymi.com/crum/358.html	779a-779b,826a			
360	https://metremnqymi.com/crum/360.html	141b-142a,838a-838b,139a			
361	https://metremnqymi.com/crum/361.html	413a-413b			
362	https://metremnqymi.com/crum/362.html	522b			
363	https://metremnqymi.com/crum/363.html	381b,613a			
364	https://metremnqymi.com/crum/364.html	67a-67b			
365	https://metremnqymi.com/crum/365.html	734a-735b,228b			
366	https://metremnqymi.com/crum/366.html	33b-34a			
367	https://metremnqymi.com/crum/367.html	649a,689a			
368	https://metremnqymi.com/crum/368.html	68b			
369	https://metremnqymi.com/crum/369.html	480b-481a,596a,461a-464a			
370	https://metremnqymi.com/crum/370.html	14b-15a			
371	https://metremnqymi.com/crum/371.html	707b			
372	https://metremnqymi.com/crum/372.html	633a-634b,227b			
373	https://metremnqymi.com/crum/373.html	10b,40b			
374	https://metremnqymi.com/crum/374.html	239a-240a			
375	https://metremnqymi.com/crum/375.html	284b			
376	https://metremnqymi.com/crum/376.html	337a-337b,351b,351b-352b,353a			
377	https://metremnqymi.com/crum/377.html	499a-499b			
378	https://metremnqymi.com/crum/378.html	313a-314a			
379	https://metremnqymi.com/crum/379.html	326b-327b			
380	https://metremnqymi.com/crum/380.html	173b-174a,179b			
381	https://metremnqymi.com/crum/381.html	240a-240b			
382	https://metremnqymi.com/crum/382.html	273b-275b,275b			
383	https://metremnqymi.com/crum/383.html	191a-191b			
384	https://metremnqymi.com/crum/384.html	438a-439a			
385	https://metremnqymi.com/crum/385.html	132b			
386	https://metremnqymi.com/crum/386.html	489b-490a,490a			
387	https://metremnqymi.com/crum/387.html	245a-246a,250b			
388	https://metremnqymi.com/crum/388.html	37b-38b,211b-212a			
389	https://metremnqymi.com/crum/389.html	536b,725b,235a-235b,698b			
390	https://metremnqymi.com/crum/390.html	729b-730b,486b,791a-791b			
391	https://metremnqymi.com/crum/391.html	66b-67a			
392	https://metremnqymi.com/crum/392.html	185a-185b,180b-181a			
393	https://metremnqymi.com/crum/393.html	389a-389b			
394	https://metremnqymi.com/crum/394.html	727b-728a,704b			
395	https://metremnqymi.com/crum/395.html	434b			
396	https://metremnqymi.com/crum/396.html	448b-449a			
399	https://metremnqymi.com/crum/399.html	332a-332b			
400	https://metremnqymi.com/crum/400.html	221b-222b			
401	https://metremnqymi.com/crum/401.html	657b-658a			
402	https://metremnqymi.com/crum/402.html	443a			
403	https://metremnqymi.com/crum/403.html	524a-524b			
404	https://metremnqymi.com/crum/404.html	219b			
405	https://metremnqymi.com/crum/405.html	110b-111a			
406	https://metremnqymi.com/crum/406.html	20b			
407	https://metremnqymi.com/crum/407.html	631a-631b			
408	https://metremnqymi.com/crum/408.html	768b,767a-767b			
409	https://metremnqymi.com/crum/409.html	467b,467b-468a,468a			
410	https://metremnqymi.com/crum/410.html	41a-41b,330a-330b			
411	https://metremnqymi.com/crum/411.html	198b-199a,39a			
412	https://metremnqymi.com/crum/412.html	603a			
413	https://metremnqymi.com/crum/413.html	374a-374b			
414	https://metremnqymi.com/crum/414.html	760a-761a,741a			
415	https://metremnqymi.com/crum/415.html	2b			
416	https://metremnqymi.com/crum/416.html				
417	https://metremnqymi.com/crum/417.html	2b			
418	https://metremnqymi.com/crum/418.html	2b			
419	https://metremnqymi.com/crum/419.html	2b			
420	https://metremnqymi.com/crum/420.html	2b			
421	https://metremnqymi.com/crum/421.html	2b 			
422	https://metremnqymi.com/crum/422.html	3a			
423	https://metremnqymi.com/crum/423.html				
424	https://metremnqymi.com/crum/424.html	3b,4a			
425	https://metremnqymi.com/crum/425.html	4a,35a			
426	https://metremnqymi.com/crum/426.html	3b			
427	https://metremnqymi.com/crum/427.html	3a			
428	https://metremnqymi.com/crum/428.html				
429	https://metremnqymi.com/crum/429.html				
430	https://metremnqymi.com/crum/430.html	3b			
431	https://metremnqymi.com/crum/431.html	3b	The word means <i>phoenix</i> (see footnote <i>iv</i> <a href= "https://drive.google.com/file/d/19V-EFQZTGoblS1TNm1Tp3KXPZUk7Ypsv/view?usp=sharing"> here</a>).		
432	https://metremnqymi.com/crum/432.html	3b			
433	https://metremnqymi.com/crum/433.html	4a			
435	https://metremnqymi.com/crum/435.html	3a			
436	https://metremnqymi.com/crum/436.html	4a			
437	https://metremnqymi.com/crum/437.html	3b-4a			
438	https://metremnqymi.com/crum/438.html				
439	https://metremnqymi.com/crum/439.html	4b			
440	https://metremnqymi.com/crum/440.html	5a			
441	https://metremnqymi.com/crum/441.html	332b-333b			
442	https://metremnqymi.com/crum/442.html	6b			
444	https://metremnqymi.com/crum/444.html	9b			
445	https://metremnqymi.com/crum/445.html	9b			
446	https://metremnqymi.com/crum/446.html				
447	https://metremnqymi.com/crum/447.html	10b			
448	https://metremnqymi.com/crum/448.html	11a			
449	https://metremnqymi.com/crum/449.html	486b,486b,472a			
450	https://metremnqymi.com/crum/450.html	231b-232a			
451	https://metremnqymi.com/crum/451.html	423a-423b			
452	https://metremnqymi.com/crum/452.html	380a			
453	https://metremnqymi.com/crum/453.html	12a-12b,379b-380a			
454	https://metremnqymi.com/crum/454.html	308b			
455	https://metremnqymi.com/crum/455.html	616a			
456	https://metremnqymi.com/crum/456.html	169a-169b,151a-151b			
457	https://metremnqymi.com/crum/457.html	221b			
458	https://metremnqymi.com/crum/458.html	87a			
459	https://metremnqymi.com/crum/459.html	9b,11a			
460	https://metremnqymi.com/crum/460.html	10b			
461	https://metremnqymi.com/crum/461.html	439a			
462	https://metremnqymi.com/crum/462.html	718a-718b,694b			
463	https://metremnqymi.com/crum/463.html	188a			
464	https://metremnqymi.com/crum/464.html				
465	https://metremnqymi.com/crum/465.html	446b			
466	https://metremnqymi.com/crum/466.html	639b-640a			
467	https://metremnqymi.com/crum/467.html	537a-537b,537b-538a,538a,538a-538b			
468	https://metremnqymi.com/crum/468.html	563a			
469	https://metremnqymi.com/crum/469.html	743a-743b,827a			
470	https://metremnqymi.com/crum/470.html	781b,827b			
471	https://metremnqymi.com/crum/471.html	202a			
472	https://metremnqymi.com/crum/472.html	516b			
473	https://metremnqymi.com/crum/473.html	724a-724b,726b			
474	https://metremnqymi.com/crum/474.html	174a,179b			
475	https://metremnqymi.com/crum/475.html	598b,606b			
476	https://metremnqymi.com/crum/476.html	169b,165a,137b			
477	https://metremnqymi.com/crum/477.html	644a-644b,644b			
478	https://metremnqymi.com/crum/478.html	27b			
479	https://metremnqymi.com/crum/479.html	108b-109a			
480	https://metremnqymi.com/crum/480.html	253a-253b			
481	https://metremnqymi.com/crum/481.html	230b-231a			
482	https://metremnqymi.com/crum/482.html	408b,384a			
483	https://metremnqymi.com/crum/483.html	541a-541b			
484	https://metremnqymi.com/crum/484.html	482a			
485	https://metremnqymi.com/crum/485.html	276a-276b,248a			
486	https://metremnqymi.com/crum/486.html	722b,696b			
487	https://metremnqymi.com/crum/487.html	420a			
488	https://metremnqymi.com/crum/488.html				
489	https://metremnqymi.com/crum/489.html	48a-48b			
490	https://metremnqymi.com/crum/490.html	737a,772b-773a,729a,791a,794b,816a,816b			
491	https://metremnqymi.com/crum/491.html	61a			
492	https://metremnqymi.com/crum/492.html	363b-364b			
493	https://metremnqymi.com/crum/493.html	832b			
494	https://metremnqymi.com/crum/494.html				
495	https://metremnqymi.com/crum/495.html	11b			
496	https://metremnqymi.com/crum/496.html	709b,11b			
497	https://metremnqymi.com/crum/497.html				
498	https://metremnqymi.com/crum/498.html	14a			
499	https://metremnqymi.com/crum/499.html	9a			
500	https://metremnqymi.com/crum/500.html	1a,11b			
501	https://metremnqymi.com/crum/501.html	11b-12a			
502	https://metremnqymi.com/crum/502.html				
503	https://metremnqymi.com/crum/503.html				
504	https://metremnqymi.com/crum/504.html	367a			
505	https://metremnqymi.com/crum/505.html	12b			
507	https://metremnqymi.com/crum/507.html	478b-479b,479b-480a			
508	https://metremnqymi.com/crum/508.html	6b			
509	https://metremnqymi.com/crum/509.html	25b,36b,142a			
510	https://metremnqymi.com/crum/510.html	7a			
511	https://metremnqymi.com/crum/511.html	7b			
512	https://metremnqymi.com/crum/512.html	7b			
513	https://metremnqymi.com/crum/513.html	7b,8a			
514	https://metremnqymi.com/crum/514.html	8a			
515	https://metremnqymi.com/crum/515.html	7a-7b			
516	https://metremnqymi.com/crum/516.html				
517	https://metremnqymi.com/crum/517.html	8a			
