key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
1076	87	4442	(S,A) meH Hht= (B) maH Kht=	0	fill belly /$gk: [[pimplanai, mestoun]]$/	fill belly /$gk: [[pimplanai, mestoun]]$/	pimplanai, mestoun	209a	15	2010-02-05	2010-04-07	vagrant	vagrant	https://pishoyg.github.io/crum/1076.html	"(S, A) ⲙⲉϩ ϩⲏⲧ=
(B) ⲙⲁϩ ϧⲏⲧ="	"<span class=""word S A"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>) <span class=""spelling S A"">ⲙⲉϩ ϩⲏⲧ=</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲙⲁϩ ϧⲏⲧ=</span> <span class=""nag-hammadi""></span></span>"	ⲙⲉϩ ϩⲏⲧ=, ⲙⲁϩ ϧⲏⲧ=	"<span class=""word S A"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>) <span class=""spelling S A"">ⲙⲉϩ ϩⲏⲧ=</span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲙⲁϩ ϧⲏⲧ=</span></span>"	-	πιμπλαναι, μεστουν	fill belly [πιμπλαναι, μεστουν]	fill belly	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ⲙⲉϩ ϩⲏⲧ=			ⲙⲉϩ ϩⲏⲧ=		ⲙⲁϩ ϧⲏⲧ=					1
5649	87	0		99	intr :	intr :		209a	16	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5649.html					HEADER		intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a											0
5650	87	5649		99	be full	be full		209a	17	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5650.html					HEADER		be full	be full	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a											1
5651	87	5650	^^^ n-	0				209a	18	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5651.html	<i><b>c</b></i> ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲛ-	"<span class=""word""><span class=""spelling"">ⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	2
5652	87	5650	^^^ Hn-	0				209a	19	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5652.html	<i><b>c</b></i> ϩⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲛ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲛ-	"<span class=""word""><span class=""spelling"">ϩⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	2
5653	87	5650	^^^ Ha-	0				209a	20	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5653.html	<i><b>c</b></i> ϩⲁ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲁ-	"<span class=""word""><span class=""spelling"">ϩⲁ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	2
5654	87	5650	^^^ eJn-	0				209a	21	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5654.html	<i><b>c</b></i> ⲉϫⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉϫⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲉϫⲛ-	"<span class=""word""><span class=""spelling"">ⲉϫⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	2
5655	87	5650	^^^ Hitn-	0				209a	22	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5655.html	<i><b>c</b></i> ϩⲓⲧⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲓⲧⲛ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲓⲧⲛ-	"<span class=""word""><span class=""spelling"">ϩⲓⲧⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209a	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	ϩⲓⲧⲛ- (c)	2
4443	87	0		99	With following adverb:	With following adverb:		209b	23	2010-04-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/4443.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b											0
4444	87	4443	(S,B,F) ^^ ebol	0	{tr:} |$ fill /$gk: [[anaplhroun, emplhroun]]$/ |$ pay | {intr:} be full, filled, paid /$gk: [[plhroun, teleioun]]$/ | (as nn B), fulfilment, limit	{tr:} |$ fill /$gk: [[anaplhroun, emplhroun]]$/ |$ pay | {intr:} be full, filled, paid /$gk: [[plhroun, teleioun]]$/ | (as nn B), fulfilment, limit	anaplhroun, emplhroun, plhroun, teleioun	209b	24	2010-04-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/4444.html	(S, B, F) ― ⲉⲃⲟⲗ	"<span class=""word S B F"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S B F"">― ⲉⲃⲟⲗ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲃⲟⲗ	"<span class=""word S B F"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S B F"">― ⲉⲃⲟⲗ</span></span>"	-	αναπληρουν, εμπληρουν, πληρουν, τελειουν	"<b>tr:</b>
― fill [αναπληρουν, εμπληρουν]
― pay
<b>intr:</b> be full, filled, paid [πληρουν, τελειουν]
<i>as nn B</i>, fulfilment, limit"	"<b>tr:</b>
― fill 
― pay
<b>intr:</b> be full, filled, paid 
<i>as nn B</i>, fulfilment, limit"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b	― ⲉⲃⲟⲗ					― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ				1
5656	87	4444		99	intr :	intr :		209b	25	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5656.html					HEADER		intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b											2
5657	87	5656	^^^ n-	0				209b	26	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5657.html	<i><b>c</b></i> ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲛ-	"<span class=""word""><span class=""spelling"">ⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	3
4445	87	4443	(S,B) ^^ eHoun,^^ eKoun	0	{tr:} fill up, supplement /$gk: [[anaplhroun]]$/	{tr:} fill up, supplement /$gk: [[anaplhroun]]$/	anaplhroun	209b	27	2010-04-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/4445.html	(S, B) ― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling S B"">― ⲉϧⲟⲩⲛ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling S B"">― ⲉϧⲟⲩⲛ</span></span>"	-	αναπληρουν	<b>tr:</b> fill up, supplement [αναπληρουν]	<b>tr:</b> fill up, supplement	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ					― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ					1
4446	87	4445	(B) Jinm. *^[eKoun]^*	0	completion	completion		209b	28	2010-04-07	2010-06-20	vagrant	vagrant	https://pishoyg.github.io/crum/4446.html	(B) ϫⲓⲛⲙ. {ⲉϧⲟⲩⲛ}	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϫⲓⲛⲙ. {ⲉϧⲟⲩⲛ}</span> <span class=""nag-hammadi""></span></span>"	ϫⲓⲛⲙ. {ⲉϧⲟⲩⲛ}	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϫⲓⲛⲙ. {ⲉϧⲟⲩⲛ}</span></span>"	-		completion	completion	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b						ϫⲓⲛⲙ. {ⲉϧⲟⲩⲛ}					2
4447	87	4443	(S) ^^ eHrai	0	{tr & intr:} fill up	{tr & intr:} fill up		209b	29	2010-04-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/4447.html	(S) ― ⲉϩⲣⲁⲓ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ⲉϩⲣⲁⲓ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲣⲁⲓ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ⲉϩⲣⲁⲓ</span></span>"	-		<b>tr & intr:</b> fill up	<b>tr & intr:</b> fill up	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b	― ⲉϩⲣⲁⲓ										1
1077	87	0	(S,A,B) ^^	1	fullness, contents /$gk: [[plhrwma, plhroforia, plhsmonh]]$/	fullness, contents /$gk: [[plhrwma, plhroforia, plhsmonh]]$/	plhrwma, plhroforia, plhsmonh	209b	30	2010-02-05	1900-01-01	vagrant		https://pishoyg.github.io/crum/1077.html	(S, A, B) ―	"<span class=""word S A B"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>) <span class=""spelling S A B"">―</span> <span class=""nag-hammadi""></span></span>"	―	"<span class=""word S A B"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>) <span class=""spelling S A B"">―</span> (ⲡ)</span>"	noun male	πληρωμα, πληροφορια, πλησμονη	fullness, contents [πληρωμα, πληροφορια, πλησμονη]	fullness, contents	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=209b	― (ⲡ)			― (ⲡ)		― (ⲡ)					0
1078	87	0	(S) Ginm.	0	filling, completion	filling, completion		210a	31	2010-02-05	1900-01-01	vagrant		https://pishoyg.github.io/crum/1078.html	(S) ϭⲓⲛⲙ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϭⲓⲛⲙ.</span> <span class=""nag-hammadi""></span></span>"	ϭⲓⲛⲙ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϭⲓⲛⲙ.</span></span>"	-		filling, completion	filling, completion	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=210a	ϭⲓⲛⲙ.										0
1079	87	0	(S,F) meH- (S,A,sA,B,F) maH-	0	(pref to ordinal numerals, lit) filling, completing |$ (nn not expressed) |$ (followed by [n] + nn) |$ (prefixed to nn /*only with two*/) |$ (following nn B,rarely S) |$ [maH-] (S)	(pref to ordinal numerals, lit) filling, completing |$ (nn not expressed) |$ (followed by [n] + nn) |$ (prefixed to nn /*only with two*/) |$ (following nn B,rarely S) |$ [maH-] (S)		210a	32	2010-02-05	2010-06-20	vagrant	vagrant	https://pishoyg.github.io/crum/1079.html	"(S, F) ⲙⲉϩ-
(S, A, sA, B, F) ⲙⲁϩ-"	"<span class=""word S F"">(<span class=""dialect S"">S</span>, <span class=""dialect F"">F</span>) <span class=""spelling S F"">ⲙⲉϩ-</span> <span class=""nag-hammadi""></span></span>
<span class=""word S A sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A sA B F"">ⲙⲁϩ-</span> <span class=""nag-hammadi""></span></span>"	ⲙⲉϩ-, ⲙⲁϩ-	"<span class=""word S F"">(<span class=""dialect S"">S</span>, <span class=""dialect F"">F</span>) <span class=""spelling S F"">ⲙⲉϩ-</span></span>
<span class=""word S A sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A sA B F"">ⲙⲁϩ-</span></span>"	-		"<i>pref to ordinal numerals, lit</i> filling, completing
― <i>nn not expressed</i>
― <i>followed by ⲛ + nn</i>
― <i>prefixed to nn (only with two)</i>
― <i>following nn B,rarely S</i>
― ⲙⲁϩ- <i>S</i>"	"<i>pref to ordinal numerals, lit</i> filling, completing
― <i>nn not expressed</i>
― <i>followed by ⲛ + nn</i>
― <i>prefixed to nn (only with two)</i>
― <i>following nn B,rarely S</i>
― ⲙⲁϩ- <i>S</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=210a	"ⲙⲉϩ-
ⲙⲁϩ-"			ⲙⲁϩ-	ⲙⲁϩ-	ⲙⲁϩ-	"ⲙⲉϩ-
ⲙⲁϩ-"				0
4563	88	0	(S,B,F) ^^ e-	0	greater, older than	greater, older than		251a	1	2010-04-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/4563.html	(S, B, F) ― ⲉ-	"<span class=""word S B F"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S B F"">― ⲉ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉ-	"<span class=""word S B F"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S B F"">― ⲉ-</span></span>"	-		greater, older than	greater, older than	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=251a	― ⲉ-					― ⲉ-	― ⲉ-				0
1345	88	0	(S,A,sA,B,F) ^^	3	great, old person, thing /$gk: [[megas, meizoteros, megistanes, prwtos, hgoumenos, presbuteros]]$/	great, old person, thing /$gk: [[megas, meizoteros, megistanes, prwtos, hgoumenos, presbuteros]]$/	megas, meizoteros, megistanes, prwtos, hgoumenos, presbuteros	251a	2	2010-02-09	2010-11-15	vagrant	vagrant	https://pishoyg.github.io/crum/1345.html	(S, A, sA, B, F) ―	"<span class=""word S A sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A sA B F"">―</span> <span class=""nag-hammadi""></span></span>"	―	"<span class=""word S A sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A sA B F"">―</span> (noun)</span>"	noun	μεγασ, μειζοτεροσ, μεγιστανεσ, πρωτοσ, ηγουμενοσ, πρεσβυτεροσ	great, old person, thing [μεγασ, μειζοτεροσ, μεγιστανεσ, πρωτοσ, ηγουμενοσ, πρεσβυτεροσ]	great, old person, thing	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=251a	― (noun)			― (noun)	― (noun)	― (noun)	― (noun)				0
1346	88	0	(S,sA,B,F) mntn.,metn.	0	greatness, seniority /$gk: [[megalosunh]]$/	greatness, seniority /$gk: [[megalosunh]]$/	megalosunh	251a	3	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1346.html	(S, sA, B, F) ⲙⲛⲧⲛ., ⲙⲉⲧⲛ.	"<span class=""word S sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S sA B F"">ⲙⲛⲧⲛ.</span>, <span class=""spelling S sA B F"">ⲙⲉⲧⲛ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲛⲧⲛ., ⲙⲉⲧⲛ.	"<span class=""word S sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S sA B F"">ⲙⲛⲧⲛ.</span>, <span class=""spelling S sA B F"">ⲙⲉⲧⲛ.</span></span>"	-	μεγαλοσυνη	greatness, seniority [μεγαλοσυνη]	greatness, seniority	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=251a	ⲙⲛⲧⲛ., ⲙⲉⲧⲛ.				ⲙⲛⲧⲛ., ⲙⲉⲧⲛ.	ⲙⲛⲧⲛ., ⲙⲉⲧⲛ.	ⲙⲛⲧⲛ., ⲙⲉⲧⲛ.				0
