key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
1653	441	0	(S,A,B) ^^	1	sufficiency, enough, plenty /$gk: [[autarkeia]]$/	sufficiency, enough, plenty /$gk: [[autarkeia]]$/	autarkeia	309b	7	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/1653.html	(S, A, B) ―	(S, A, B) ―	(S, A, B) ―	(S, A, B) ―	―	(S, A, B) ― (ⲡ)	noun male	αυταρκεια	sufficiency, enough, plenty [αυταρκεια]	sufficiency, enough, plenty [αυταρκεια]	sufficiency, enough, plenty	"sufficiency, enough, plenty <span style=""opacity:0.7"">[αυταρκεια]</span>"	"sufficiency, enough, plenty <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%85%CF%84%CE%B1%CF%81%CE%BA%CE%B5%CE%B9%CE%B1"">αυταρκεια</a>]</span>"	sufficiency, enough, plenty	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309b	309	b	― (ⲡ)	―					― (ⲡ)	―			― (ⲡ)	―									0
9019	441	1653	^^^ *^gen^* n-	0		/$gk: [[ikanos]]$/	ikanos	309b	8	2014-08-05	2014-08-05	vagrant	vagrant	https://pishoyg.github.io/crum/9019.html	<i><b>c</b></i> {gen} ⲛ-	<i><b>c</b></i> {gen} ⲛ-	c {gen} ⲛ-	c {gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ- (c)	-	ικανοσ	[ικανοσ]	[ικανοσ]		"<span style=""opacity:0.7"">[ικανοσ]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B9%CE%BA%CE%B1%CE%BD%CE%BF%CF%83"">ικανοσ</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309b	309	b	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	{gen} ⲛ- (c)	{gen} ⲛ-	1
6070	441	0	*^adverbial^* epr.	0	sufficiently /$gk: [[autarkws]]$/	sufficiently /$gk: [[autarkws]]$/	autarkws	310a	9	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6070.html	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	-	αυταρκωσ	sufficiently [αυταρκωσ]	sufficiently [αυταρκωσ]	sufficiently	"sufficiently <span style=""opacity:0.7"">[αυταρκωσ]</span>"	"sufficiently <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%85%CF%84%CE%B1%CF%81%CE%BA%CF%89%CF%83"">αυταρκωσ</a>]</span>"	sufficiently	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=310a	310	a	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	{adverbial} ⲉⲡⲣ.	0
6071	441	0	Hnour.,Kenour.	0	moderately	moderately		310a	10	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6071.html	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	-		moderately	moderately	moderately	moderately	moderately	moderately	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=310a	310	a	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ., ϧⲉⲛⲟⲩⲣ.	ϩⲛⲟⲩⲣ.	0
1654	441	0	r pr.,er fr.	0	be, do enough /$gk: [[autarkein]]$/	be, do enough /$gk: [[autarkein]]$/	autarkein	310a	11	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/1654.html	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	-	αυταρκειν	be, do enough [αυταρκειν]	be, do enough [αυταρκειν]	be, do enough	"be, do enough <span style=""opacity:0.7"">[αυταρκειν]</span>"	"be, do enough <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%85%CF%84%CE%B1%CF%81%CE%BA%CE%B5%CE%B9%CE%BD"">αυταρκειν</a>]</span>"	be, do enough	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=310a	310	a	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	ⲣ ⲡⲣ., ⲉⲣ ⲫⲣ.	ⲣ ⲡⲣ.	0
5471	442	0	a. e-	0				7b	1	2010-06-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/5471.html	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	ⲁ. ⲉ-	0
5472	442	0	a. eKht	0				7b	2	2010-06-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/5472.html	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	ⲁ. ⲉϧⲏⲧ	0
5473	442	0	a. ebol	0				7b	3	2010-06-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/5473.html	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	ⲁ. ⲉⲃⲟⲗ	0
5474	442	0	a. eHrai	0				7b	4	2010-06-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/5474.html	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	ⲁ. ⲉϩⲣⲁⲓ	0
5475	442	0	a. epesht	0				7b	5	2010-06-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/5475.html	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	ⲁ. ⲉⲡⲉⲥⲏⲧ	0
5476	442	0	a. eHoun,a. eKoun	0				7b	6	2010-06-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/5476.html	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ, ⲁ. ⲉϧⲟⲩⲛ	ⲁ. ⲉϩⲟⲩⲛ	0
16	442	0	(S,sA,B,F) amh	0	(2d sg f)	(2d sg f)		7b	7	2010-01-23	1900-01-01	vagrant		https://pishoyg.github.io/crum/16.html	(S, sA, B, F) ⲁⲙⲏ	(S, sA, B, F) ⲁⲙⲏ	(S, sA, B, F) ⲁⲙⲏ	(S, sA, B, F) ⲁⲙⲏ	ⲁⲙⲏ	(S, sA, B, F) ⲁⲙⲏ	-		<i>2d sg f</i>	2d sg f	<i>2d sg f</i>	<i>2d sg f</i>	<i>2d sg f</i>	2d sg f	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=7b	7	b	ⲁⲙⲏ	ⲁⲙⲏ							ⲁⲙⲏ	ⲁⲙⲏ	ⲁⲙⲏ	ⲁⲙⲏ	ⲁⲙⲏ	ⲁⲙⲏ							0
