id	super_id	orthstring	pos_string	de	en	fr	etym_string	ascii_orth	search_string	oref_string	greek_id	ents	entry_xml_id	lemma_form_id
11	5	"Subst. pl.
ⲁⲃⲓⲛ~K^^CF61
"	N	1@CS11|~~~Bedeutung unbekannt;;;CD 2b	1@CS11|~~~meaning unknown;;;CD 2b	1@CS11|~~~sens inconnu;;;CD 2b		ABIM	"
ⲁⲃⲓⲛ~K^^CF61
"	ⲁⲃⲓⲛ			C11	CF60
12	6	"Subst.
ⲁⲃⲣⲉⲙ~B^^CF63
"	N	1@CS12|ref: ἄρτος ἀρτοκοπικός ~~~gebackenes Brot;;;CD 2b; KoptHWb 2	1@CS12|ref: ἄρτος ἀρτοκοπικός ~~~baked bread;;;CD 2b; KoptHWb 2	1@CS12|ref: ἄρτος ἀρτοκοπικός ~~~pain cuite;;;CD 2b; KoptHWb 2	cf. #ⲁⲙⲣⲉ# Bäcker 	ABQEL	"
ⲁⲃⲣⲉⲙ~B^^CF63
"	ⲁⲃⲣⲉⲙ			C12	CF62
13	7	"Subst. m.
ⲁⲃⲉⲣⲏϫ~S^^CF65
"	N	1@CS13|ref: σμάραγδος ~~~Rubellit; roter Turmalin;;;CD 2b; CED 2; KoptHWb 483; DELC 4; ChLCS 3a	1@CS13|ref: σμάραγδος ~~~rubellite; (red) tourmaline;;;CD 2b; CED 2; KoptHWb 483; DELC 4; ChLCS 3a	1@CS13|ref: σμάραγδος ~~~rubelite; tourmaline rouge;;;CD 2b; CED 2; KoptHWb 483; DELC 4; ChLCS 3a		ABEQGd	"
ⲁⲃⲉⲣⲏϫ~S^^CF65
"	ⲁⲃⲉⲣⲏϫ			C13	CF64
14	8	"Subst. m.
ⲁⲃⲥⲱⲛ~B^^CF67
|||Subst. m.
ⲁⲩⲥⲟⲛ~B^^CF68
"	N	1@CS14|~~~wilde Minze;;;CD 2b; CED 2; KoptHWb 15	1@CS14|~~~wild mint;;;CD 2b; CED 2; KoptHWb 15	1@CS14|~~~menthe sauvage;;;CD 2b; CED 2; KoptHWb 15		ABRXM	"
ⲁⲃⲥⲱⲛ~B^^CF67
ⲁⲩⲥⲟⲛ~B^^CF68
"	ⲁⲃⲥⲱⲛ|||ⲁⲩⲥⲟⲛ			C14	CF66
15	9	"Subst.
ⲁⲃⲏϣ~S^^CF70
"	N	1@CS15|~~~Bedeutung unbekannt; als Spezifikation von Eßwaren (Fische, Getreide);;;CD 3a; CED 2; KoptHWb 483; DELC 4	1@CS15|~~~meaning unknown; epithet of certain edibles;;;CD 3a; CED 2; KoptHWb 483; DELC 4	1@CS15|~~~sens inconnu; désigne des produits alimentaires;;;CD 3a; CED 2; KoptHWb 483; DELC 4		ABGY	"
ⲁⲃⲏϣ~S^^CF70
"	ⲁⲃⲏϣ			C15	CF69
16	10	"Subst. f.
ⲁⲃⲁϭⲏⲉⲓⲛ~S^^CF72
|||Subst. f.
ⲁⲃⲁϫⲏⲓⲛⲓ~B^^CF74
|||Subst. f.
ⲁⲃⲁⲕⲏⲓⲛⲉ~S^^CF73
|||Subst. f.
ⲁⲃⲓϭⲉⲛⲓ~F^^CF76
|||Subst. f.
ⲃⲁϫⲏⲓⲛⲓ~B^^CF31420
|||Subst. f.
ⲃⲁϫⲓⲛⲓ~B^^CF31421
"	N	1@CS16|~~~Glas;;;CD 3a; CED 3; KoptHWb 2; DELC 4; ChLCS 3a	1@CS16|~~~glass;;;CD 3a; CED 3; KoptHWb 2; DELC 4; ChLCS 3a	1@CS16|~~~verre;;;CD 3a; CED 3; KoptHWb 2; DELC 4; ChLCS 3a	persisches Lehnwort	ABAeGEIM	"
ⲁⲃⲁϭⲏⲉⲓⲛ~S^^CF72
ⲁⲃⲁϫⲏⲓⲛⲓ~B^^CF74
ⲁⲃⲁⲕⲏⲓⲛⲉ~S^^CF73
ⲁⲃⲓϭⲉⲛⲓ~F^^CF76
ⲃⲁϫⲏⲓⲛⲓ~B^^CF31420
ⲃⲁϫⲓⲛⲓ~B^^CF31421
"	ⲁⲃⲁϭⲏⲉⲓⲛ|||ⲁⲃⲁϫⲏⲓⲛⲓ|||ⲁⲃⲁⲕⲏⲓⲛⲉ|||ⲁⲃⲓϭⲉⲛⲓ|||ⲃⲁϫⲏⲓⲛⲓ|||ⲃⲁϫⲓⲛⲓ			C16	CF71
17	11	"Subst. m.
ⲁⲃⲁϭⲏⲉⲓⲛ~S^^CF78
|||Subst. m.
ⲁⲃⲁϫⲏⲓⲛⲓ~B^^CF80
|||Subst. m.
ⲁⲃⲁⲕⲏⲓⲛⲉ~S^^CF79
|||Subst. m.
ⲁⲃⲓϭⲉⲛⲓ~F^^CF82
|||Subst. m.
ⲃⲁϫⲏⲓⲛⲓ~B^^CF31422
|||Subst. m.
ⲃⲁϫⲓⲛⲓ~B^^CF31423
"	N	1@CS17|~~~Glas;;;CD 3a; CED 3; KoptHWb 2; DELC 4; ChLCS 3a	1@CS17|~~~glass;;;CD 3a; CED 3; KoptHWb 2; DELC 4; ChLCS 3a	1@CS17|~~~verre;;;CD 3a; CED 3; KoptHWb 2; DELC 4; ChLCS 3a	persisches Lehnwort	ABAeGEIM	"
ⲁⲃⲁϭⲏⲉⲓⲛ~S^^CF78
ⲁⲃⲁϫⲏⲓⲛⲓ~B^^CF80
ⲁⲃⲁⲕⲏⲓⲛⲉ~S^^CF79
ⲁⲃⲓϭⲉⲛⲓ~F^^CF82
ⲃⲁϫⲏⲓⲛⲓ~B^^CF31422
ⲃⲁϫⲓⲛⲓ~B^^CF31423
"	ⲁⲃⲁϭⲏⲉⲓⲛ|||ⲁⲃⲁϫⲏⲓⲛⲓ|||ⲁⲃⲁⲕⲏⲓⲛⲉ|||ⲁⲃⲓϭⲉⲛⲓ|||ⲃⲁϫⲏⲓⲛⲓ|||ⲃⲁϫⲓⲛⲓ			C17	CF77
18	12	"Subst. m.
ⲁⲓⲃⲉ~L^^CF84
"	N	1@CS18|~~~Zeichen (Brandmal), Stigma, Makel;;;CD XXIIIa; CDC 1a; CED 3; KoptHWb 2, 484; DELC 5	1@CS18|~~~stamp, stain;;;CD XXIIIa; CDC 1a; CED 3; KoptHWb 2, 484; DELC 5	1@CS18|~~~marque, stigme, défaut;;;CD XXIIIa; CDC 1a; CED 3; KoptHWb 2, 484; DELC 5	WCNae: #61 WCNde: #d333 	AIBE	"
ⲁⲓⲃⲉ~L^^CF84
"	ⲁⲓⲃⲉ			C18	CF83
19	13	"Vb.
ⲁⲓⲁⲓ~S^^CF86
|||Vb.
ⲁⲓⲁⲓ~B^^CF88
|||Vb.
ⲁⲓⲁⲓ~L^^CF87
"	V	1@CS19|ref: (συν)αὐξάνειν, μεγαλύνθεσθαι, προβαίνειν, ἁδρύνεσθαι, γηράσκειν ~~~wachsen, älter werden;;;CD 1b; CED 1; KoptHWb 2, 484; DELC 5-6; ChLCS 3a	1@CS19|ref: (συν)αὐξάνειν, μεγαλύνθεσθαι, προβαίνειν, ἁδρύνεσθαι, γηράσκειν ~~~increase (in seize), advance (in age);;;CD 1b; CED 1; KoptHWb 2, 484; DELC 5-6; ChLCS 3a	1@CS19|ref: (συν)αὐξάνειν, μεγαλύνθεσθαι, προβαίνειν, ἁδρύνεσθαι, γηράσκειν ~~~grandir, croître, augmenter, vieillir;;;CD 1b; CED 1; KoptHWb 2, 484; DELC 5-6; ChLCS 3a	cf. #ⲟ# groß cf. #ⲛⲁⲁ# groß sein cf. #ⲧⲁⲓⲟ# ehren 	AIAI	"
ⲁⲓⲁⲓ~S^^CF86
ⲁⲓⲁⲓ~B^^CF88
ⲁⲓⲁⲓ~L^^CF87
"	ⲁⲓⲁⲓ|||ⲁⲓⲁⲓ|||ⲁⲓⲁⲓ			C19	CF85
20	13	"Qualitativ
ⲁⲓⲁⲓ~S^^CF90
"	VSTAT	1@CS20|ref: ἔνδοξος, ἄρχων, πανάρετος ~~~groß sein, geehrt sein;;;CD 1b-2a; KoptHWb 2; DELC 5-6; ChLCS 3a	1@CS20|ref: ἔνδοξος, ἄρχων, πανάρετος ~~~be great, goodly, honoured;;;CD 1b-2a; KoptHWb 2; DELC 5-6; ChLCS 3a	1@CS20|ref: ἔνδοξος, ἄρχων, πανάρετος ~~~être grand, noble, honoré;;;CD 1b-2a; KoptHWb 2; DELC 5-6; ChLCS 3a		AIAI	"
ⲁⲓⲁⲓ~S^^CF90
"	ⲁⲓⲁⲓ			C20	CF89
21	13	"Subst. m.
ⲁⲓⲁⲓ~S^^CF92
|||Subst. m.
ⲁⲓⲁⲓ~B^^CF93
"	N	1@CS21|ref: αὔξησις, αὐξάνειν ~~~Zunahme, Wachstum;;;CD 2a; KoptHWb 2; ChLCS 3a	1@CS21|ref: αὔξησις, αὐξάνειν ~~~increase, growth;;;CD 2a; KoptHWb 2; ChLCS 3a	1@CS21|ref: αὔξησις, αὐξάνειν ~~~augmentation, acroissement;;;CD 2a; KoptHWb 2; ChLCS 3a		AIAI	"
ⲁⲓⲁⲓ~S^^CF92
ⲁⲓⲁⲓ~B^^CF93
"	ⲁⲓⲁⲓ|||ⲁⲓⲁⲓ			C21	CF91
22	13	"Subst. f.
ⲁⲉⲓⲏⲥ~S^^CF95
"	N	1@CS22|~~~Größe, Format, Alter;;;CD 2a; CED 12; KoptHWb 2; ChLCS 3a	1@CS22|~~~greatness, size, quality;;;CD 2a; CED 12; KoptHWb 2; ChLCS 3a	1@CS22|~~~grandeur, format, dimension, stature, qualité;;;CD 2a; CED 12; KoptHWb 2; ChLCS 3a		AEIGR	"
ⲁⲉⲓⲏⲥ~S^^CF95
"	ⲁⲉⲓⲏⲥ			C22	CF94
23	13	"Subst. f.
ϫⲓⲛⲁⲓⲁⲓ~B^^CF97
"	N	1@CS23|~~~Zunahme;;;CD 2a	1@CS23|~~~increase;;;CD 2a	1@CS23|~~~augmentation;;;CD 2a	cf. #ϭⲓⲛ# Nominalpräfix 	dIMAIAI	"
ϫⲓⲛⲁⲓⲁⲓ~B^^CF97
"	ϫⲓⲛⲁⲓⲁⲓ			C23	CF96
24	14	"Subst. m.
ⲁⲉⲓⲕ~S^^CF99
|||Subst. m.
ⲁⲉⲓⲕ~L^^CF100
|||Subst. m.
ⲁⲓⲕ~B^^CF101
|||Subst. m.
ⲁⲓⲕ~F^^CF102
|||Subst. m.
ⲁⲓⲕ~M^^CF103
"	N	1@CS24|ref: ἐγκαινισμός, ἐγκαινία ~~~Einweihung; Kirche, Altar;;;CD 3a; CED 3; KoptHWb 2, 484; DELC 6; ChLCS 3a	1@CS24|ref: ἐγκαινισμός, ἐγκαινία ~~~consecration; of church, altar;;;CD 3a; CED 3; KoptHWb 2, 484; DELC 6; ChLCS 3a	1@CS24|ref: ἐγκαινισμός, ἐγκαινία ~~~consécration; église, autel;;;CD 3a; CED 3; KoptHWb 2, 484; DELC 6; ChLCS 3a	cf. #ⲱⲕ# eingehen, eintreten 	AEIJ	"
ⲁⲉⲓⲕ~S^^CF99
ⲁⲉⲓⲕ~L^^CF100
ⲁⲓⲕ~B^^CF101
ⲁⲓⲕ~F^^CF102
ⲁⲓⲕ~M^^CF103
"	ⲁⲉⲓⲕ|||ⲁⲉⲓⲕ|||ⲁⲓⲕ|||ⲁⲓⲕ|||ⲁⲓⲕ			C24	CF98
25	14	"Vb. Kompositverb
ⲉⲣⲁⲓⲕ~B^^CF105
"	V	1@CS25|ref: ἐγκαινεῖν ~~~einweihen;;;CD 3a	1@CS25|ref: ἐγκαινεῖν ~~~consecrate;;;CD 3a	1@CS25|ref: ἐγκαινεῖν ~~~consacrer;;;CD 3a	cf. #ⲉⲓⲣⲉ# machen, tun 	EQAIJ	"
ⲉⲣⲁⲓⲕ~B^^CF105
"	ⲉⲣⲁⲓⲕ			C25	CF104
26	14	"Vb. Kompositverb
ϫⲓⲁⲉⲓⲕ~S^^CF107
|||Vb. Kompositverb
ϭⲓ ⲙⲡⲁⲓⲕ~B^^CF31424
|||Vb. Kompositverb
ϭⲓⲁⲓⲕ~B^^CF108
"	V	1@CS26|ref: ἐγκαινεῖν ~~~einweihen;;;CD 3a; KoptHWb 2; DELC 6; ChLCS 3a	1@CS26|ref: ἐγκαινεῖν ~~~consecrate;;;CD 3a; KoptHWb 2; DELC 6; ChLCS 3a	1@CS26|ref: ἐγκαινεῖν ~~~consacrer;;;CD 3a; KoptHWb 2; DELC 6; ChLCS 3a	cf. #ϫⲓ# nehmen, erhalten 	dIAEIJ	"
ϫⲓⲁⲉⲓⲕ~S^^CF107
ϭⲓ ⲙⲡⲁⲓⲕ~B^^CF31424
ϭⲓⲁⲓⲕ~B^^CF108
"	ϫⲓⲁⲉⲓⲕ|||ϭⲓ ⲙⲡⲁⲓⲕ|||ϭⲓⲁⲓⲕ			C26	CF106
27	14	"Subst. m.
ϫⲓⲁⲉⲓⲕ~S^^CF110
|||Subst. m.
ϭⲓ ⲙⲡⲁⲓⲕ~B^^CF31425
|||Subst. m.
ϭⲓⲁⲓⲕ~B^^CF111
"	N	1@CS27|~~~Einweihung;;;CD 3ab; ChLCS 3a	1@CS27|~~~consecration;;;CD 3ab; ChLCS 3a	1@CS27|~~~consécration;;;CD 3ab; ChLCS 3a	cf. #ϫⲓ# nehmen, erhalten 	dIAEIJ	"
ϫⲓⲁⲉⲓⲕ~S^^CF110
ϭⲓ ⲙⲡⲁⲓⲕ~B^^CF31425
ϭⲓⲁⲓⲕ~B^^CF111
"	ϫⲓⲁⲉⲓⲕ|||ϭⲓ ⲙⲡⲁⲓⲕ|||ϭⲓⲁⲓⲕ			C27	CF109
28	15	"Subst.
ⲁⲕⲏ~S^^CF113
"	N	1@CS28|~~~Bedeutung unbekannt;;;CD 3b; CED 3; KoptHWb 484; ChLCS 3a	1@CS28|~~~meaning unknown;;;CD 3b; CED 3; KoptHWb 484; ChLCS 3a	1@CS28|~~~sens inconnu;;;CD 3b; CED 3; KoptHWb 484; ChLCS 3a	cf. #ϩⲁⲙⲁⲕⲏ# . . .-Hersteller 	AJG	"
ⲁⲕⲏ~S^^CF113
"	ⲁⲕⲏ			C28	CF112
29	16	"Subst. f.
ⲁⲕⲱ~S^^CF115
|||Subst. f.
ⲁⲕⲱ~B^^CF116
"	N	1@CS29|~~~Verderben, Verlust, Zerstörung;;;CD 3b; CED 3; KoptHWb 3; DELC 6; ChLCS 3a	1@CS29|~~~decay, loss, destruction;;;CD 3b; CED 3; KoptHWb 3; DELC 6; ChLCS 3a	1@CS29|~~~ruine, perte, destruction;;;CD 3b; CED 3; KoptHWb 3; DELC 6; ChLCS 3a	cf. #ⲧⲁⲕⲟ# verderben, zu Grunde gehen 	AJX	"
ⲁⲕⲱ~S^^CF115
ⲁⲕⲱ~B^^CF116
"	ⲁⲕⲱ|||ⲁⲕⲱ			C29	CF114
30	17	"Subst. f.
ⲁⲕⲗⲏ~B^^CF118
"	N	1@CS30|~~~ein Gefäß;;;CD 3b; CED 3; KoptHWb 484	1@CS30|~~~a vessel;;;CD 3b; CED 3; KoptHWb 484	1@CS30|~~~une vase;;;CD 3b; CED 3; KoptHWb 484		AJKG	"
ⲁⲕⲗⲏ~B^^CF118
"	ⲁⲕⲗⲏ			C30	CF117
31	18	"Subst. f.
ⲁⲕⲟⲩⲗⲁⲩϫⲉ~S^^CF120
"	N	1@CS31|~~~Gefäß, Behälter;;;CD 3b; CED 3; KoptHWb 484; ChLCS 3a	1@CS31|~~~vessel, receptacle;;;CD 3b; CED 3; KoptHWb 484; ChLCS 3a	1@CS31|~~~ustensile, mesure (de liquides);;;CD 3b; CED 3; KoptHWb 484; ChLCS 3a		AJOTKATdE	"
ⲁⲕⲟⲩⲗⲁⲩϫⲉ~S^^CF120
"	ⲁⲕⲟⲩⲗⲁⲩϫⲉ			C31	CF119
32	19	"Subst.
ⲁⲕⲱⲛⲉ~S^^CF122
|||Subst.
ⲉϭⲱⲛⲉ~S^^CF124
|||Subst.
ⲉⲕⲱⲛⲉ~S^^CF123
"	N	1@CS32|~~~ein Gefäß;;;KoptHWb 484; ChLCS 3a	1@CS32|~~~a vessel;;;KoptHWb 484; ChLCS 3a	1@CS32|~~~ustensile;;;KoptHWb 484; ChLCS 3a		AJXME	"
ⲁⲕⲱⲛⲉ~S^^CF122
ⲉϭⲱⲛⲉ~S^^CF124
ⲉⲕⲱⲛⲉ~S^^CF123
"	ⲁⲕⲱⲛⲉ|||ⲉϭⲱⲛⲉ|||ⲉⲕⲱⲛⲉ			C32	CF121
33	20	"Subst. m.
ⲁⲕⲏⲥ~S^^CF126
|||Subst. m.
ⲁⲕⲏⲥ~B^^CF127
"	N	1@CS33|ref: περισκελής ~~~Umhang, Schurz;;;CD 3b; KoptHWb 3, 484; DELC 6; ChLCS 3b |||2@CS34|ref: περίζωμα ~~~Gürtel;;;CD 3b; KoptHWb 3, 484; DELC 6; ChLCS 3b	1@CS33|ref: περισκελής ~~~breeches;;;CD 3b; KoptHWb 3, 484; DELC 6; ChLCS 3b |||2@CS34|ref: περίζωμα ~~~girdle;;;CD 3b; KoptHWb 3, 484; DELC 6; ChLCS 3b	1@CS33|ref: περισκελής ~~~tablier, culotte;;;CD 3b; KoptHWb 3, 484; DELC 6; ChLCS 3b |||2@CS34|ref: περίζωμα ~~~ceinture;;;CD 3b; KoptHWb 3, 484; DELC 6; ChLCS 3b		AJGR	"
ⲁⲕⲏⲥ~S^^CF126
ⲁⲕⲏⲥ~B^^CF127
"	ⲁⲕⲏⲥ|||ⲁⲕⲏⲥ			C33	CF125
