Αϣ πε πεκ ρηϯ ?,Aʃ pe pek riti,Ash pe pek riti,Ash pe pek riti,,,,how are you?,,إزايك,كيف حالك,,للمخاطب المذكر,,,
Ανοκ πε νανεϥ,anok pe nanef,anok pe nanef,anok pe nanef,,,,I'm fine,أنا بخير,,,,للمتكلم المذكر,,,
Αϣ πε πε ρηϯ ?,Aʃ pe pe riti,Ash pe pe riti,Ash pe pe riti,,,,how are you?,,,إزايك,كيف حالك,للمخاطب المؤنث,,,
Ανοκ τε νανες,anok te nanes,anok te nanes,anok te nanes,,,,I'm fine,أنا بخير,,,,للمتكلم المؤنث,,,
Αϣ πε πετεν ρηϯ ?,Ash pe peten riti,Ash pe peten riti,Ash pe peten riti,,,,how are you?,,,إزايكو,كيف حالكم,للمخاطب الجمع,,,
Ανον νε νανευ,anon ne nanev,anon ne naneu,anon ne nanev,,,,we are fine,نحن بخير,,,,للمتكلم الجمع,,,
αρι`ϩμοτ,Ari-ehmot,Ari`hmot,Ari-ehmot,,,,would you,here you are,تفضل,,,,,,
ϣεπ`ϩμοτ,ʃep-ehmot,Shep`hmot,Shep-ehmot,,,,thanks,,شكرا  ,,,,,,
`ϩλι,ehli,`hli,ehli,,,,not at all,,عفوا,,,,,,
`μμον `ϩλι,emmon ehli,`mmon `hli,emmon ehli,,,,not at all,,عفوا,,,,,,
μευι αν,mevi an,meui an,mevi an,,,,never mind,,ولا يهمك,ماىتاخدش في بالك,,,,,
ουωϣ,O-oʃ,Ouosh,Ouosh,,,,I would like,أود أن من فضلك,,,,,,,
ο `νροουϣ,o en roʃ,o `n rosh,o en rosh,,,,important,مهم,هام,,,,,,
οι `νρωουϣ,oi en roʃ,oi `n rosh,oi en rosh,,,,important,مهم,هام,,,,,,
ρεμ`νϩωβ,rem en hob,rem `n hob,rem en hob,,,,client,عميل,زبون,,,,,,
εθνηου,etʰnyou,ethnyou,ethnyou,,,,next,which will come,,الأتي,القادم,,,,
ϫινθωϣ,ʒintoʃ,ginthwsh,ginthwsh,اسم,مذكر,,preparation,تعيين,ترتيب,,,,,,
ϫινςοβϯ,ʒinsobti,ginsobti,ginsobti,اسم,مذكر,,organization,ترتيب,تنظيم,,,,,,
ϫινϣωπι,ʒinʃopi,ginshwpi,ginshwpi,اسم,مذكر,,sojourn,stay,إقامة,,,,,,
ϫινουωνϩ,Ʒino-onh,Ginouwnh,Ginouwnh,اسم,مذكر,,sojourn,stay,إقامة,,,,,,
ερϣενςουενϥ,erʃensowenf,ershensouenf,ershensouenf,فعل,,,appreciate,,يقدر,يثمن,,,,,
ερνουϥτ,ernoft,ernouft,ernouft,فعل,,,appreciate,,يقدر,يثمن,,,,,
ϫινερϣενςουενϥ,ʒinerʃensowenf,ginershensoenf,ginershensoenf,اسم,مذكر,,appreciation,,تقدير,تثمين,,,,,
ϫινερνουϥτ,ginernoft,ginernouft,ginernouft,اسم,مذكر,,appreciation,,تقدير,تثمين,,,,,
ϯτοτϥ,titotf,titotf,titotf,اسم,مذكر,,cooperation,, تعاون,,,,,,
ϫινιρινεμ,ginirinem,ginirinem,ginirinem,اسم,مذكر,,cooperation,, تعاون,,,,,,
ϫωτ,got,gwt,gwt,اسم,مؤنث,,list,,قائمة,لسته,,,,,
διμι,dimi,dimi,dimi,اسم,مذكر,,country,,بلد,,,,,,
θο,to ,tho,tho,اسم,مذكر,,world,,عالم,,,,,,
χαινρωμι,kainromi,qainrwmi,qainrwmi,اسم,مذكر,,republic,,جمهورية,,,,,,
μεταμαϩινρωμι,metamahinromi,metamahinrwmi,metamahinrwmi,اسم,مذكر,,democracy,,ديموقراطية,,,,,,
θοϣ,tosh,thosh,thosh,اسم,مذكر,,Province,,محافظة,,,,,,
ραουη,raoi,raouy,raouy,اسم,مؤنث,,quarter,,حي,,,,,,
ραβη,rabi,raby,raby,اسم,مؤنث,,quarter,,حي,,,,,,
μα`νϩωβ `μβακι,Ma enhop em baki,Ma`nhwb `mbaki,Ma en hob embaki,اسم,مذكر,,municipality,,بلدية,,,,,,
`ϣθεϩ,eshteh,`shteh,eshteh,اسم,مؤنث,,street,,شارع,,,,,,
`ϣτεϩ,eshteh,`shteh,eshteh,اسم,مؤنث,,street,,شارع,,,,,,
`ϣθοϩ,eshtoh,`shtoh,eshtoh,اسم,مؤنث,,street,,شارع,,,,,,
ϧιρ,khir,khir,khir,اسم,مذكر,,aly,,حارة ,زقاق,,,,,
ϣενϫε,shenge,shenge,shenge,اسم,مذكر,,road,,طريق,,,,,,
κοτ `ν ονι,kotenoni,kot `n oni,kot en oni,اسم,مذكر,,equator,,دائرة الاستواء,,,,,,
κοτενονι,kotenoni,kotenoni,kotenoni,اسم,مذكر,,equator,,دائرة الاستواء,,,,,,
μα`νϩωβ,Ma-enhob,ma`nhob,Ma enhob,اسم,مذكر,,office,,مكتب,مكان العمل,,,,,
ϫινερϩωβ,ginerhob,ginerhwb,ginerhwb,اسم,مذكر,,mission,,مهمة,,,,,,
ϩικοτ ε,hikot e,hikot e,hikot e,فعل,,,visit,,يزور,,,,,,
μετρηϯ,metreeti,metryti,metryti,اسم,مؤنث,,state,,دولة,,,,,,
ϧεν ου ωρϫ,khen o org,khen ou wrg,khen ou wrg,adv.,,,exactly,,بالضبط,,,,,,
μεταμαϩι,metamahi,metamahi,metamahi,اسم,مؤنث,,government,cabinet,حكومة,,,,,,
ϭιϣαπ,Tʃi-ʃap,tschishap,tschishap,فعل,,,borrow,,يأخذ سلفة,يستعير,يقترض,يستلف,,,
ϯϣαπ,tiʃap,tishap,tishap,فعل,,,lend,,يعطي قرض,يعير,يقرض,يسلف,,,
ϣαπ,ʃap,shap,shap,اسم,مذكر,,loan,,قرض,,,,,,
ουωμ`νϩητ,O-om en heet,ouwm`nhyt,ouwmenhyt,اسم,مذكر,,sorry,,أسف,,,,,,
ουβαϣ,obaʃ,obash,obash,اسم,مؤنث,,white,,أبيض,,,,,,
`θρεϣρωϣ,etreʃroʃ,`threshrosh,ethreshrosh,اسم,مذكر,,red,,أحمر,,,,,,
μηρϣ,meerʃ,myrsh,myrsh,اسم,مذكر,,red,,أحمر,,,,,,
τορϣ,torʃ,torsh,torsh,اسم,مذكر,,red,,أحمر,,,,,,
αςιλων,asilon,asilwn,asilwn,اسم,مذكر,,blue,,أزرق,,,,,,
νηϫι,neegi,nygi,nygi,اسم,مذكر,,green,,أخضر,,,,,,
ουετουωτ,Owet-o-ot,Owetouwt,Owetouwt,صفة,,,green,,أخضر,,,,,,
ουωτ,O-ot,Ouwt,Ouwt,صفة,,,green,,أخضر,,,,,,
καα,kaa,kaa,kaa,اسم,مذكر,,brown,,بني,,,,,,
φηρϣ,feerʃ,phyrsh,phyrsh,اسم,مذكر,,crimson,,قرمزي,,,,,,
μανμον,manmon,manmon,manmon,اسم,مذكر,,orange,,برتقالي,,,,,,
θομανμον,Toman-mon,Thomanmon,Thomanmon,اسم,مذكر,,orange,,برتقالي,,,,,,
αουιν ,awin,aouin,aouin,اسم,مذكر,,yellow,,أصفر,,,,,,
αβιν,abin,abin,abin,اسم,مذكر,,yellow,,أصفر,,,,,,
χημ,keem,kym,kym,اسم,مذكر,,black,,أسود,,,,,,
ιαν,ian,ian,ian,اسم,مذكر,,purple,,بنفسج,,,,,,
αβαν `ν κερμι,aban en kermi,abin `n kermi,abin `n kermi,اسم,مؤنث,,gray,,لون رمادي,,,,,,
αβαν `ν εβιω,aban en ebio,Abin `n ebiw,Abin `n ebiw,اسم,مذكر,,honey color,,لون عسلي,,,,,,
αβαν `ν `χρωμ,aban en ekrom,abin `n `qrwm,abin `n `qrwm,اسم,مذكر,,reddish color,,لون محمر,,,,,,
αβαν `μ πηρπ,aban en peerp,abin `n `pyrp,abin `n `pyrp,اسم,مذكر,,wine color,,لون خمري,,,,,,
αβαν `μφε,aban em fe,abin `m phe,abin `m phe,اسم,مؤنث,,celestial color,,لون سماوي,,,,,,
αβαν `ν ηϫι,aban en ygi,abin `n ygi,abin `n ygi,اسم,مذكر,,dark green,,لون أخضر غامق,,,,,,
αβαν `μφιν,aban em feen,abin `m phin,abin `m phin,اسم,مذكر,,gray,,لون رصاصي,,,,,,
αβαν `μ `πτατϩ,aban em eptath,abin `m `ptath,abin `m `ptath,اسم,مذكر,,gray,,لون رمادي,,,,,,
αβαν `μ `πουερτ,aban em epowert,abin `m `pouert,abin `m `pouert,اسم,مذكر,,rose,,لون وردي,,,,,,
αβαν `ν ϩατ,aban en hat,abin `n hat,abin `n hat,اسم,مذكر,,silver,,لون فضي,,,,,,
αβαν `ν νουβ,aban en nob,abin `n nob,abin `n nob,اسم,مذكر,,golden,,لون ذهبي,,,,,,
αβαν `ν ϫεβς,aban en gebs,abin `n gebs,abin `n gebs,اسم,مذكر,,black,,لون فحمي,,,,,,
ϯ ουωμ `νϩητ,ti o-om en heet,ti ouwm `n hyt,ti ouwm en hyt,فعل,,,I'm sorry,,أنا أسف,,,,,,
ανςεμι,ansemi,ansemi,ansemi,اسم,مؤنث,,law,act,قانون,,,,,,
κωτ,kot ,kot ,kot ,اسم,مذكر,,rule,,قاعدة,,,,,,
τωπ,top ,top ,top ,اسم,مذكر,,norm,,شريعة,,,,,,
ρεϥεραϣιρι,referaʃiri,referashiri,referashiri,اسم,مذكر,,activist,,ناشط سياسي,ناشط حقوقي,,,,,
Σαθαι μετρεμτενϩουτ,sa tai metremtenhot,sa thai metremtenhot,sa thai metremtenhot,اسم,مذكر,,ad hoc committee,,,لجنة لمناقشة موضوع معين,,,,,
Σαθαι,sa tai  ,sa tai  ,sa tai  ,صفة,,,ad hoc,,تجاه هذه,خصيصا,,,,,
μετρεϥμονι,metrefmoni,metrefmoni,metrefmoni,اسم,مؤنث,,sponsorship,,رعاية,,,,,,
χαινιρι,Kai-en-iri,qainiri,kainiri,اسم,مذكر,,agenda,,أجندة,,,,,,
τοι`μμεταμαϩι,toi em metamahi,toi `m metamahi,toi `m metamahi,اسم,مذكر,,department,ministry,وزارة,,,,,,
ϫινϣεβιε`νανςεμι,ginʃebie en ansemi,ginshebie `n ansemi,ginshebie `n ansemi,اسم,مذكر,,law amendment,,,تعديل قانوني,,,,,
ϫινϣεβιε`μμεταμαϩι,ginʃebie em metamahi,ginshebie `m metamahi,ginshebie `m metamahi,اسم,مذكر,,government reshuffle,,,تغيير حكومي,,,,,
ϫινϣεβιε`μμεττοι,ginʃebie emmettoi,ginshebie `mmettoi,ginshebie `mmettoi,اسم,مذكر,,ministerial change,,,تغيير وزاري,,,,,
ϫινϣεβιε,ginʃebie  ,ginshebie  ,ginshebie  ,اسم,مذكر,,amendment,change,,تغيير  ,,,,,
μετατθωϣ,Metat-toʃ,Metatthosh,Metatthosh,اسم,مؤنث,,anarchy,,فوضى,,,,,,
ϫω`ν`ϣλολ,go en eʃlol,go `n `shlol,go `n `shlol,اسم,مذكر,,national anthem,,,نشيد قومي,,,,,
Ουβε θουητ,obe toit,oube thouyt,oube thouyt,صفة,,,anti social,,,غير اجتماعي,,,,,
Μοϣι `νουβε θουητ,moshi en obe toit,moshi `n oube touyt,moshi en oube touyt,اسم,مذكر,,Anti social behavior,,,سلوك غير اجتماعي,,,,,
θωουτς `νρωμι,tots en romi,thouts `n romi,thouts en romi,اسم,مؤنث,,people's assembly,,,مجلس الشعب,البرلمان,,,,
ρεϥερναϣϯ `νρωμι,refernaʃti en romi,refernashti `n romi,refernashti en romi,اسم,مذكر,,attorney general,,,المدعي العام,النيابة,المحامي العام,,,
ρεϥερναϣϯ,refernaʃti,refernashti,refernashti,اسم,مذكر,,attorney ,lawyer,,محامي,,,,,
ρεϥερανςεμι,referansemi,referansemi,referansemi,اسم,مذكر,,legislator,,,مشرع,,,,,
ρεμ`νθωουτς `ν`ϣλολ,rem en tots en eshlol,rem `n thwouts `n `shlol,rem en thwouts en eshlol,اسم,مذكر,,member of people's assembly,,,,عضو مجلس شعب,,,,
Ϫινϯβεχε,gintibeke,gintibeqe,gintibeqe,اسم,مذكر,,budget,,ميزانية,,,,,,
Ϫινϯβεχε `νρωμι,gintibeke en romi,gintibeqe `n romi,gintibeqe en romi,اسم,مذكر,,Public budget,,موزانة عامة,,,,,,
ϣι `ν ϫομ,shi en gom,shi `n gom,shi en gom,اسم,مذكر,,balance of power,,,ميزان القوى,,,,,
ϯ`ςμη,ti esmee,ti `smy,ti esmy,فعل,,,vote,,,يصوت,,,,,
ρεϥϯ`ςμη,Ref ti esmee,refti `smy,refti esmy,اسم,مذكر,,voter,,ناخب,,,,,,
ρεϥϯ`ςμη,Ref ti esmee,refti `smy,refti esmy,اسم,مذكر,,elector ,,ناخب,,,,,,
ϫινϯ`ςμη,gin ti esmee,gin ti `smy,gin ti esmy,اسم,مذكر,,voting,,,تصويت,,,,,
ςωτπ,sotp,swtp,swtp,فعل,,,elect,,,,ينتخب,,,,
ϫινςωτπ ,ginsotp,ginswtp,ginswtp,اسم,مذكر,,election,,,انتخاب,,,,,
Σενη `μπιςωτπ ,senee em pi sotp,seny `m pi swtp,seny em pi swtp,اسم,مؤنث,,ballot Box,,,صندوق الانتخابات,,,,,
ϫινϭιϩο,gin tshi ho,gintcshiho,gintcshiho,اسم,مذكر,,bias,,,محاباة,,,,,
ρι`ςναυ `ν ϫινερανςεμι   ,ri esnau en gin eransemi,ri `snau `n gin eransemi,ri esnau en gin eransemi,اسم,مذكر,,Bi cameral legislature,,,,نظام تشريعي ثنائي المجلس,,,,
χω ϧα`τϩη,ko kha et-hee,qw kha`thy,qw kha`thy,اسم,مذكر,,proposal,,,مقترح,,,,,
χω ϧα`τϩη `νανςεμι,ko kha et-hee en ansemi,qw kha `t-hy `n ansemi,qw kha et-hy en ansemi,اسم,مذكر,,proposal of law,,,مقترح بقانون,,,,,
θουτς,tots  ,thouts  ,thouts  ,اسم,مؤنث,,party,,حزب,,,,,,
`ϣλεϩ,`shleh,`shleh,`shleh,اسم,مذكر,,branch,,فرع,,,,,,
Πι ερϧαε,pi erkhae,pi erkhae,pi erkhae,اسم,مذكر,,deficit,نقص,عجز,,,,,,
Πι ερϧαε `νϫινϯβεχε,pi erkhae en gintibeke,pi erkhae `n gintibeqe,pi erkhae en gintibeqe,اسم,مذكر,,budget deficit,,,عجز موازنة,,,,,
Πι ερϧαε `νϫινϯβεχε`νρωμι ,pi erkhae en gintibeke en romi,pi erkhae `n gintibeqe `n romi,pi erkhae en gintibeqe en romi,اسم,مذكر,,public deficit,,,عجز موازنة عامة,,,,,
Πι ϥι`νϫινςωτπ,pi figinsotp,pi fi`nginswtp,pi fi enginswtp,اسم,مذكر,,electoral campaign,,,حملة انتخابية,,,,,
Πι Ϧαὲ `μπιϭι εβολ ,pi khae empi tshi evol,pi khae `mpi tcshi ebol,pi khae empi tcshi ebol,اسم,مذكر,,spending limit,,,حد الانفاق,,,,,
πετωϧτ,petokht,Petwkht,Petwkht,اسم,مذكر,,candidate,,,مرشح,,,,,
μεταφενϩατ,Met-afe-en-hat,Metafenhat,Metafenhat,اسم,مؤنث,,capitalism,,,الرأسمالية,,,,,
αφενϩατ,afenhat,afenhat,afenhat,اسم,مؤنث,,capital ,,,رأس المال,,,,,
ρεϥαφενϩατ,refafenhat,refafenhat,refafenhat,اسم,مذكر,,capitalist,,,رأس مالي,,,,,
νιμευιμετερ`ϣφηρ,Met-er-eshfeer,Meter`shfeer,Metereshfeer,اسم,مؤنث,,socialism,,,اشتراكية,,,,,
ςαμετερ`ϣφηρ,samet-er-eshfeer,sametrefer`shfeer,sametereshfeer,اسم,مؤنث,,socialist,,,اشتراكي ,,,,,
λωιϫι,lwigi,lwigi,lwigi,اسم,مؤنث,,cause,,قضية,سبب,,,,,
ϫινωπ,Gin-op,Gin-op,Gin-op,اسم,مذكر,,census,,إحصاء,تعداد,,,,,
μηϯ,meetee,myti,myti,اسم,مؤنث,,center,,وسط,,,,,,
φηετ`μμηϯ,Fe-et-em-meetee,phyet`mmyti,phyetemmyti,اسم,,,centrist,,سياسي من الوسط,,,,,,
μετμηϯ,metmeetee,metmyti,metmyti,اسم,مؤنث,,centrism,,سياسة الوسط,,,,,,
ϫωβι `νϭε εβολ,gobi en tshe evol,gwbi `n tsche ebol,gwbi `n tsche ebol,اسم,مذكر,,check,,شيك,,,,,,
νεϣαφε`μμα`νϯϩαπ,nesh-afe em-ma enti hap,neshafe `mma `nti hap,neshafe emma enti hap,اسم,مذكر,,chief justice,,,رئيس المحكمة العليا,,,,,
μα`νϩωβ `ν αφε `νρεϥερναϣτ `ντε ϯμετρηϯ,ma enhop en afe enrefernasht ente ti metreeti,ma `nhop `n afe `nrefernasht `nte ti metryti,ma enhop en afe enrefernasht ente ti metryti,اسم,مذكر,,chief state solicitor’s office,,,,,مكتب رئيس محاموا الدولة,,,
ρεμ`νμετρηϯ,remenmetreeti,rem`nmetryti,remenmetryti,اسم,مذكر,,state's person,,,رجل دولة,,,,,
ρεμβακι,rembaki,rembaki,rembaki,اسم,مذكر,,citizen,,مواطن,,,,,,
μετρεμβακι,metrembaki,metrembaki,metrembaki,اسم,مؤنث,,citizenship,,مواطنة,,,,,,
ϩανμηι`ντε μετρεμβακι,hanmee ente metrembaki,hanmyi `nte metrembaki,hanmyi ente metrembaki,اسم,جمع,,citizenship rights,,,حقوق المواطنة,,,,,
μα `μπιςοϭνι `μβακι,ma em pi sotshni embaki,ma `mpi sotschni `mbaki,ma empi sotschni embaki,اسم,مذكر,,city council,,,مجلس المدينة,,,,,
μα `μπιςοϭνι,ma empi sotshni,ma `mpi sotschni,ma empi sotschni,اسم,مذكر,,council place,,,مجلس  ,,,,,
νιρεϥςοϭνι  ,nirefsotchni,Nirefsotschni  ,nirefsotschni  ,اسم,جمع,,council  ,,,,,,,,
μετρεϥνοϩεμ,metrefnohem,metrefnohem,metrefnohem,اسم,مذكر,,security,,شرطة,أمن,,,,,
πετνοϩεμ,petnohem,petnohem,petnohem,اسم,مذكر,,security,,شرطي,رجل أمن,,,,,
νιρεϥςοϭνι `μμετρεϥνοϩεμ,nirefsotshni emmetrefnohem,nirefsotschni `mmetrefnohem,nirefsotschni emmetrefnohem,اسم,مذكر,,security council,,,مجلس الأمن,,,,,
αφε `μμεταμαϩι,afe `mmetamahi,afe emmetamahi,afe emmetamahi,اسم,مذكر,,head of government,,prime minister,,,رئيس الوزراء,,,
αφε `μμετρηϯ,afe `mmetryti,afe emmet-reetee,afe emmet-reetee,اسم,مذكر,,head of state,,,رئيس دولة,,,,,
αφε `νχαινρωμι,afe `nkainromi,afe enkai-enromi,afe enkainromi,اسم,مذكر,,head of republic,,,رئيس جمهورية,,,,,
ρεμ`νϩωβςωρ,rem `n hobsor,rem `n hobswr,rem en hobswr,اسم,مذكر,,politician,,,سياسي,,,,,
ϩωβςωρ,hobsor,hobswr,hobswr,اسم,مؤنث,,politics,,,سياسة,,,,,
`νϩωβςωρ,`nhobsor,`nhobswr,enhobswr,صفة,,,political,,,سياسي,,,,,
μετβακι,metbaki,metbaki,metbaki,اسم,مؤنث,,civil  ,,,مدنية,,,,,
ϩανμηι`ντε μετβακι νεμ `νϩωβςωρ,hanmyi ente metbaki nem en hobswr,hanmyi `nte metbaki nem `n hobswr,hanmyi ente metbaki nem en hobswr,اسم,جمع,,civil and political rights,,,,الحقوق المدنية والسياسية,,,,
μετρεμϩε `μμετβακι,metremhe emmetbaki,metremhe `mmetbaki,metremhe emmetbaki,اسم,مؤنث,,civil liberty,,,,الحريات المدنية,,,,
ϣεμϣι `μμετβακι,shemshi emmetbaki,shemshi `mmetbaki,Shemshi emmetbaki,اسم,مذكر,,civil service,,,خدمة مدنية,,,,,
ϫινθωουϯ,gin toti,ginthwouti,ginthwouti,اسم,مذكر,,coalition,,إئتلاف,,,,,,
Ϫινθωουϯ `μμεταμαϩι,gin toti emmetamahi,ginthwouti `mmetamahi,ginthwouti emmetamahi,اسم,مذكر,,coalition government,,,,حكومة إئتلافية,,,,
τωπ `μμοϣι,top em moshi,twp `m moshi,twp em moshi,اسم,مذكر,,code of conduct,,,معيار للسلوك,,,,,
μετϭοϫι,met tshogi,mettshogi,mettshogi,اسم,مؤنث,,procedure,,إجراء,,,,,,
ϩανμετϭοϫι,han met tshogi,hanmettshogi,hanmettshogi,اسم,جمع,,procedures,,إجراءات,,,,,,
μετρεμτενϩουτ,met rem tenhot,metremtenhout,metremtenhout,اسم,مؤنث,,committee,,لجنة,,,,,,
ρεμτενϩουτ,rem tenhot,remtenhout,remtenhout,اسم,مذكر,,committee member,,عضو لجنة,,,,,,
μετρεμουωρπ,Metrem-o-orp,Metremouwrp,Metremouwrp,اسم,مؤنث,,commission,,مفوضية,,,,,,
ανςεμι`νατςωρ,ansemi en atsor,ansemi `n atswr,ansemi en atswr,اسم,مؤنث,,privilege,,إمتياز,مزايا خاصة بقانون,,,,,
μετςωλκ,metsolk,metswlk,metswlk,اسم,مؤنث,,communication,,إتصال,,,,,,
μετρεϥιρι,Met-ref-iri,Metrefiri,Metrefiri,اسم,مؤنث,,operation,,عملية,,,,,,
μετϫομιρι,Met-gom-iri,Metgomiri,Metgomiri,اسم,مؤنث,,energy,,طاقة,,,,,,
μα`νερϩεμι,ma enerhemi,ma`nerhemi,maenerhemi,اسم,مذكر,,administration place,,مقر إدارة,,,,,,
Ϫινερϩεμι,hemi,ginerhemi,ginerhemi,اسم,مذكر,,administration,,إدارة,,,,,,
μετςωρ,metsor,metswr,metswr,اسم,مذكر,,communism,,شيوعية,,,,,,
ςαμετςωρ,Sa-met-sor,sametswr,sametswr,اسم,مذكر,,communist,,شيوعي ,,,,,,
Ϫινρανα,ginrana,ginrana,ginrana,اسم,مذكر,,consensus,,موافقة,,,,,,
μευιμεταρεϩ,mevimetareh,meuimetareh,meuimetareh,اسم,مذكر,,conservatism,,حفاظ,صيانة,وقاية,,,,
ςαμεταρεϩ,sametareh,sametareh,sametareh,اسم,مذكر,,conservative,,محافظ ,,,,,,
διμινσωτπ,diminsotp,diminswtp,diminswtp,اسم,مذكر,,constituency,,منطقة انتخابية,,دائرة انتخابية,,,,
ανσεμινςενϯ,anseminsenti,anseminsenti,anseminsenti,اسم,مؤنث,,constitution,,دستور,,,,,,
ϫινι ϩινεμ,Gin-i-hinem,gini hinem,gini hinem,اسم,مذكر,,convention,,اتفاقية,,,,,,
νιρεϥςοϭνι  `μμετρηϯ,nirefsotchni em metreeti,nirefsotschni  `mmetryti,nirefsotschni  emmetryti,اسم,جمع,,council of state,,,مجلس الدولة,,,,,
ρεϥςοϭνι  ,refsotchni,refsotschni  ,refsotschni  ,اسم,مذكر,,councilor,,مستشار,,,,,,
νιρεϥςοϭνι  `ντε διμι,nirefsotchni ente dimi,nirefsotschni  `nte dimi,nirefsotschni  ente dimi,اسم,جمع,,county council,,مجلس المدينة,مجلس القرية,,,,,
μα`νρεϥςοϭνι  `ντε διμι,maenrefsotchni ente dimi,ma`nrefsotschni  `nte dimi,maenrefsotschni  ente dimi,اسم,جمع,,county council headquarters,,مقر مجلس المدينة,مقر مجلس القرية,,,,,
μετταμο,mettamo,mettamo,mettamo,اسم,مؤنث,,information,,إعلام,معلومة,,,,,
νιταμο,ni tamo,nitamo,nitamo,اسم,جمع,,news,information,معلومات,أخبار,,,,,
Πι αρεϩ `ννιταμο,pi areh en ni tamo,pi areh `nnitamo,pi areh enni tamo,اسم,مذكر,,record,registry,,سجل,,,,,
ρεϥαρεϩ `ννιταμο,refareh enni tamo,refareh `nni tamo,refareh enni tamo,اسم,مذكر,,registrar,,,مدون السجلات,,,,,
ρεϥαρεϩ `ννιταμο `ντε διμι,refareh enni tamo ente dimi,refareh `nni tamo ente dimi,refareh enni tamo ente dimi,اسم,مذكر,,county registrar,,,مدون سجلات المدينة,,,,,
ϫινϭωϧεμςωιτ,gintschokhemsoit,gintschokhemsoit,gintschokhemsoit,اسم,مذكر,,defamation,,تشويه السمعة,,,,,,
μεττοι `ντε ναϣϯ,mettoi ente nashti,mettoi `nte nashti,mettoi ente nashti,اسم,مذكر,,ministry of defence,,department of defence,,,وزارة الدفاع,,,
