Marcion	Crum	_v_	Entry
542 543	2a	v	[[[ⲁⲃ]]] _v_ [[ⲁϥ]] __flesh__ & [[ⲁϥ]] __fly__.
175	2a	v	[[[ⲁⲃⲉ]]] [[A]], [[ⲁⲃⲓ]] [[F]] _v_ [[ⲉⲓⲃⲉ]].
1835	2a	v	[[[ⲁⲃⲉ]]] [[S]] _v_ [[ⲱϥⲉ]].
626	2a		[[[ⲁⲃⲉ]]] [[S]] nn f, meaning unknown: ST 389 they imprisoned me in village, [[ⲉⲓⲥ ⲡⲛⲟⲩ(ⲧⲉ) ⲙⲛⲛⲉⲧⲛϣⲗⲏⲗ ⲁⲏϯ ⲑⲉ ⲛⲁⲓ ⲁⲓⲛⲟⲩϩ ⲧⲁⲃⲉ ⲁⲓⲃⲱⲕ ⲛⲁⲓ]] and am come to you. ////Ostr Chicago 855 [[ⲟⲩⲁⲃⲉ]] among metal utensils.//\t_L_ ? [[ⲁⲃⲱ]] or [[ⲧⲁⲃⲉⲛⲛⲏⲥⲉ]] or [[ⲧⲁ-ⲃⲉ]].\t////_Cf_ ManiP 201 29 [[ⲁⲃⲏ]].//
86	2a		[[[ⲁⲃⲱ]]] [[S]][[B]][[F]], [[ⲁⲃⲟⲩ]] [[A]], pl [[ⲁⲃⲟⲟⲩⲉ]] [[S]] (R 1 2 13, Mor 52 25), sg as pl (Eccl 7 27) [[S]] nn f, __drag net__ for fish or animals: Eccl 7 27 [[S]], Hab 1 16 [[A]][[B]], Is 19 8 [[S]][[B]], Mt 13 47 [[S]][[F]] [[σαγήνη]] [[شبكة]]; opp [[ϣⲛⲉ]]: Hab _l c_, Gu 98 [[S]] [[ϣⲛⲏ ϩⲓⲁ.]], BAp 40 [[S]] [[ⲁⲓⲥⲟⲕⲟⲩ ⲛⲛⲁϣⲛⲏ ⲉⲧⲁ.]], Mich '22 (sermon) [[S]] [[ⲉⲣⲉⲧⲁ. ⲡⲟⲣϣ ⲉⲃⲟⲗ ⲉⲩⲣⲱϩⲧ ⲙⲡⲉϣⲛⲏ]], Cai 42573 1 [[ⲛⲟⲩϫ ⲛⲟⲩⲁ. ⲉⲑⲁⲗⲁⲥⲥⲁ ⲏ ⲟⲩϣⲛⲏ ⲉϭⲁⲡ ⲧⲃⲧ]], BMis 478 [[S]] whilst drawing [[ϣⲛⲏ]], boy fell into water [[ⲁϥⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲧⲁ.]] & I could not draw up [[ϣⲛⲏ]], ShA 2 164 [[S]] fisher [[ⲛⲁⲛⲉϫ ⲧⲁ. ⲉⲡⲙⲟⲟⲩ]], PSBA 33 115 [[S]] heaven & earth shall tremble like [[ⲛⲟⲩϩ ⲛⲁ.]], Tri 713 [[S]] for bird-catching, MG 25 319 [[B]] net of saint's prayers hath gathered us here, Mor 54 41 [[S]] [[ⲣⲉϥⲛⲉϫ ⲁ. ⲉⲑⲁⲗⲁⲥⲥⲁ]]. A pun upon [[ⲁ.]] & name [[ⲡⲁⲃⲱ]] Baouit 1 115.
625	2b		[[[ⲁⲃⲱ]]] [[S]], pl. [[ⲁⲃⲁⲧⲉ]], nn f [[قلعة]]. So AZ 24 88 (Bsciai). Cannot be traced. _Cf_ KKS 54. But MS seems to read [[ⲃⲱ]], _v_ [[ϥⲟ]].
624	2b		[[[ⲁⲃⲱⲕ]]] [[S]][[B]][[F]], seldom [[ⲁⲃⲟⲕ]] [[S]][[B]], [[ⲉⲃⲱⲕ]] DM, f [[ⲁⲃⲟⲕⲉ]] [[S]] (Ryl 63 1), [[ⲁⲃⲟⲕⲓ]] [[B]] (BSM 119, Cat 147), pl [[ⲁⲃⲟⲟⲕⲉ]] [[S]], [[ⲁⲃⲁⲕⲉ]] [[A]]) Pro 24 52, Zeph 2 14), [[ⲁⲃⲟⲕⲓ]] [[B]] (Va 57 271), [[ⲁⲃⲁⲁⲕⲓ]] [[F]] (Is 34 11), sg often as pl, nn m, __crow__, __raven__: Lev 11 14 [[S]][[B]], Job 38 41 [[S]][[B]] [[κόραξ]]; Jer 3 2, Ep Jer 54 [[B]] [[κορώνη]]; Miss 8 237 [[S]] [[ⲟⲩⲁ. ⲉϥⲕⲏⲙ]], MG 25 8 [[B]] [[ⲟⲩⲁ. ⲛⲭⲁⲙⲉ]], LCyp 3 [[S]] [[ⲧⲁⲥⲡⲉ ⲛⲛⲁⲃⲟⲟⲕⲉ]], BM 527 [[F]] [[ⲥⲛⲁϥ ⲛⲁ.]]; [[ⲃⲁⲗ ⲛⲁ.]] [[κύαμος ἑλληνική]] Z 629 [[S]], PMéd 267 [[S]], CR '87 376 [[S]], WS 52 [[S]] (all medic), Bal [[S]] in list of herbs, _cf_ DM 5 24 [[bel n]] [[ⲉⲃⲱⲕ]]; Ps 146 9 [[S]][[B]] [[ⲙⲁⲥ ⲛⲁ.]]\nAs name: Bodl(P) g 14 [[S]] [[ⲁⲡⲁ (ⲁ)ⲃⲱⲕ]], [[Ἀβόκ]], [[Ἀβῶκ]] (Preisigke).
54	2b	v	[[[ⲁⲃⲁⲗ]]] [[A]] _v_ [[ⲃⲱⲗ]] ([[ⲉⲃⲟⲗ]]).
537	2b	v	[[[ⲁⲃⲁⲛ]]] _v_ [[ⲁⲩⲁⲛ]].
1237	xva	v	[[[ⲁⲃⲉⲛ]]] _v_ [[ⲟⲃⲛ]].
538	2b	v	[[[ⲁⲃⲏⲛ]]] _v_ [[ⲁⲩⲉⲓⲛ]].
2808	2b		[[[ⲁⲃⲓⲛ]]] [[O]] nn pl, meaning unknown: AZ 21 105 [[ⲛⲉϩⲥⲉ ⲡϣⲟⲓ ⲛⲥⲁⲧϣⲁⲡϣⲓ…ⲛⲉϩⲥⲓ ⲛⲑⲱⲩⲑ ⲛⲥⲁⲛⲁⲃⲓⲛ]] (_cf_ _ib_ 38 92).
231	2b	v	[[[ⲁⲃⲏⲣ]]] [[B]] _v_ [[ⲟⲩⲏⲣ]].
121	2b		[[[ⲁⲃⲣⲉⲙ]]] [[B]] nn, only 1 Chr 16 3 (Lag, HCons) [[ⲟⲩⲱⲓⲕ ⲛⲁ.]] [[ἄρτος ἀρτοκοπικός]] __torta panis__; _cf_ [[ⲁⲙⲣⲉ]] (Spg). But ? _l_ [[ⲱⲓⲕ (ⲛ)ⲛⲁⲃⲣⲉ ⲙⲫⲣⲱⲙⲓ]]; _v_ HCons 176 (_cf_ [[ⲛⲁⲡⲣⲉ]]).
94	2b		[[[ⲁⲃⲉⲣⲏϫ]]] [[S]] nn m, a stone, only Mor 52 13, where jewels likened to 12 apostles; [[λιγύριον]] a water-hued stone resembling [[ⲁ.]], which is [[ⲟⲩⲱⲛⲉ ⲉϥϫⲟⲕⲣ]], not soluble like salt. ? = Pers [[فيروزج]] turquoise, [[ابريز]] [[ὄβρυζον]] not likely. _Cf_ K 203 (for [[ⲃⲁⲣⲁⲗⲓⲟⲛ]] 1° _l_ [[ⲗⲓⲕⲓⲣⲓⲟⲛ]]), Ludolf _Comment_. 210 (both confused lists).
2660	2b		[[[ⲁⲃⲥⲱⲛ]]] (Pey), [[ⲁⲩⲥⲟⲛ]] (K) [[B]] nn m, __wild mint__: K 195 [[نعناع جبلي]].
639	2b	v	[[[ⲁⲃⲁⲧ]]] [[F]], [[ⲁⲃⲟⲧ]] [[B]] _v_ [[ⲉⲃⲟⲧ]].
539	2b	v	[[[ⲁⲃⲏⲧ]]] _v_ [[ⲁⲩⲏⲧ]].
95	2b		[[[ⲁⲃⲓⲧ]]] [[B]] nn (?), __Monday__ (?): BM 872, 886, heading of Monday's Theotokia, [[ⲑ. ⲛⲧⲉ ⲫⲟⲟⲩ ⲛⲁ.]] [[يوم الأثنين]], P 44 186 [[ⲫⲟⲩ ⲛⲁ.]] do. Elsewhere Monday [[B]] [[ⲡⲓⲉⲟⲟⲩ ⲙⲙⲁϩⲃ̅]] O'LearyTh 22, or [[ⲡⲉϩ. ⲙⲡⲃ̅]] Absal 159; [[S]] P 44 21 (from Theot.) [[ⲡⲣⲁⲥⲧⲉ ⲃ̅]] _Cf_ [[ⲁⲩⲏⲧ]] _sub fin_.
96	3a		[[[ⲁⲃⲏϣ]]] [[S]] nn or adj, meaning unknown, epithet of certain edibles: Ep 533 [[ⲧⲏⲃⲧ ⲛⲁ.]], BP 5181 [[ⲥⲟⲩⲟ ⲛⲁ.]]
889	3a	v	[[[ⲁⲃϩⲉ]]] [[A]], [[ⲁⲃϩ]], [[ⲁⲃⲁϩ]] [[F]] _v_ [[ⲟⲃϩⲉ]].
