key	word	type	en	crum	crum-last-page	dawoud-pages	categories	notes	senses	sisters	antonyms	homonyms	greek-sisters	quality
14	(S,L,B,F) Swrp (A) Qwrp (F) Swl$^e^$p (S) S$^e^$r$^e^$p- (B) Serp- (S,B) Sorp= (A) Qarp= (S) Sorp+ (NH) Sarp+ *^<a href=ext codex I - The Apocryphon of James;102;7;14;Spe oun Gam ari Sarp araei Hwwt">Ext</a>^*"	verb	{intr:} be early | {qual:} /$gk: ορθριος$/ | {tr /*refl*/:} /$gk: ορθριζειν$/	586b		607a,587a,587a-588a			{"1": "be early"}	210; 68; 227; 2325	1824; 67; 59			complete++
15	(S,B,O) ran (S) rin (A,L,F,O) ren (F) len (S,B) ren- (S,A) rnt= (S) rent=,rint=,rant= (S,O) rin= (B,O) ren=	noun male	name /$gk: ονομα$/	297b		310b-311a,317b	concept		{"1": "name", "2": "fame, renown"}	260; 113				complete++
16	(S,A,L) Jise (B) Gisi (F) Jisi (S,L) Jest- (S) Jast- (B) Ges-,Gas- (S) Jast=,Jist= (A,L,F) Jest= (B) Gas= (S) Jose+ (A,L) Jase+ (L,F) Jasi+ (B) Gosi+ (S,A,L,F) ^Jasi- (B) ^Gasi-	verb	{intr:} become, be high /$gk: υξουσθαι, μεγαλυνεσθαι$/ | {qual:} /$gk: υξιστος, υξηλος, μετεωρος$/ | {tr:} exalt /$gk: υξουν$/ | (p c), who raises, mounts	788b		805b-807a,750b			{"1": "be high", "2": "raise, exalt", "3": "mount"}	17; 2175; 917; 2649	2122	2457		complete+
17	(S,Sf) Jo$^e^$is (S,A,F) Js (A,L,F) Jaeis (L,F) Jais (Sf) Gos (NH) Jes *^<a href=ext codex II - The Gospel of Thomas;107;37;6;eFSaeime nGi pJesHnhei">Ext</a>^* (S) *Jisoou$^e^$ (A,L) *Jiseue (B) *Giseu (F) *Jishoui (Sf) *Jishhue"	noun male/female	lord |$ (title of God) /$gk: κυριος$/ |$ (of man), master, owner /$gk: οικοδεσποτης$/ |$ (of saint)	787b		813b-814a,755b	person		{"1": "lord (of God)", "2": "lord (of man, master, owner)", "3": "lord (of saint)"}	1172; 18; 16	568; 905; 367; 2642			complete++
18	(S,A,L) rro (Sf) erro (S,O) ero (S,B) ouro (F) rra,erra,irra,era (S,L) ****rrw (S,Sf) ****erw (B) ****ourw (S,A) *rrwou (S,F) *errwou (S,O) *erwou (S) *rroou (Sa,A) *rra$^e^$i (B) *ourwou	noun male/female	king, queen /$gk: βασιλευς, αρχων, τυραννις, καισαρ, ηγουμενος$/ | (as adj) royal	299a		263a	person		{"1": "king", "2": "queen", "3": "royal"}	17	568; 905; 367; 2642			complete++
19	(S,A,L,B,F,O) Hht (S,A,L,F,O) Hth= (O) Hte= (B) Hqh= (A) ht= (B) eHth= (A,L) *Hete (F) *HeT	noun male	heart, mind /$gk: καρδια, νους, διανοια, ξυχη$/	714a		672a-673a,669a-671b	anatomy		{"1": "heart", "2": "mind"}	3; 116; 155; 2239; 71 #drv3323; 93 #drv313; 1349 #drv1643		2290		complete++
20	(S,A,L) Shre (B,F,O) Shri (F) Shli (S,A,L) Sr- (A) Shr- (F) Sel- (S) Se- (S,F) Si- (S,B) Sou- (S,B,F,O) S$^e^$n- *^for [Se n-]^* (S,F) Shn- (S,A,L) ****Seere (S,Sf) ****Shhre (L,O) ****Sere (B) ****Seri (F) ****Shhli (S) *Srhu,Sreu	noun	son, child /$gk: υιος, τεκνον$/ | daughter /$gk: θυγατηρ$/	584a		569a-569b,566a,559a	person		{"1": "son", "2": "child", "3": "daughter"}	57; 220; 174; 1905; 1919; 1965		1848; 1850; 1847; 224; 451; 1844; 1849		complete
21	(S,A,L,O) rwme (B,F) rwmi (F) lwmi,lomi (S) rwm- (O) rom- (S,A,L) rm- (S,B,F) rem- (F) lem-,le$^m^$-	noun male/female	man, human being /$gk: ανθρωπος, ανηρ$/ | (adj), human | any one, no one | kinsman, friend, serving-man	294b		329a-330a,310a-310b	species, person		{"1": "man"}	143; 166; 31				complete
22	(S,O) me (S) mee (S,A) mhe (A) mie (B) mhi,mei (F) mei,meei,mhi	noun female	truth, justice, (also) true person /$gk: αληθεια$/	156b		150a-150b,142a-142b	concept		{"1": "truth", "2": "justice", "3": "true person"}	901; 1065; 1710	1230			complete
23	(S,A,L,O) eire (L) ire (B) iri (F) ili (B,F) ra,la (S,A,L,O) r- (S,B,O) er- (F) el- (S) aa=,eiat= (A,L) eet= (L) eeit= (L) ee=,ae= (B) ai= (F) ei=,eit= (O) ait= (NH) a= *^<a href=ext codex II - The Gospel of Thomas;107;43;19;nkesmot FnaSas an;codex II - The Gospel of Philip;108;77;4;FnaaF eFouaab">Ext</a>^* (S,L,F) o+ (A) e+,eie+ (L) oei+ (B,F) oi+ (F) ai+,ei+,e+ (S) **arire (B) **arioui (S,A,B) **ari- (A,L) **eri- (F) **ali-,ale- (S,L) **ari= (B) **arit= (F) **alit="	verb	{intr:} (S,A,B,F) |$ act /$gk: ποιειν, πρασσειν$/ |$ become, befall /$gk: ειναι, γινεσθαι$/ |$ (c dat) | {tr:} |$ make, do |$ make, bear fruit |$ pass (time) |$ make (total), amount to |$ make (price), value (at) |$ (as vb of direction)	83a		84a-85a,308a,39b-40a,2a,230a,11a-11b			{"1": "act", "2": "become", "3": "befall", "4": "make, do", "5": "make, bear (fruit)", "6": "pass (time)", "7": "make (total), amount to", "8": "make (price, value) at", "9": "(as verb of direction)"}	1623; 120			C9036	complete++
24	(S,L,B) talGo (A,L) tlGo (F) telGa,TilJa (S,A,B) talGe- (S,B) talGo= (Sa) t$^e^$lko= (A,L) tlGa= (L) talGa= (S) talGhu+	verb	{intr:} make to cease, heal (/*causative of [laGe]*/) /$gk: ιασθαι, θεραπευειν$/	411b		433a-433b			{"1": "heal", "2": "cease"}	1026; 234; 501				complete++
25	(S,B,F) eneH (S) eneHe,enhHe (A,L) anhHe	noun male	(nn m) |$ eternity /$gk: αιων$/ |$ age, (period of time) /$gk: αιων$/ | (with [Sa-]) /$gk: αιωνιος$/ | (adj), eternal /$gk: αιωνιος$/ |$ (with [nSa-]) /$gk: αιωνιος$/ |$ (with [Sa-]) /$gk: αιωνιος$/ | (adv), for ever, eternally, ever |$ (in interrog clause) /$gk: ποτε$/ |$ (with neg vb) /$gk: ποτε, ουδεποτε$/ |$ (with [Sa-, nSa-]) |$ (with [Jin-, isJen-]) |$ (as nn)	57a		37b	time		{"1": "eternity", "2": "age, period of time"}	492				complete+cz
26	(S,A,L) mise (B,F) misi (O) mesie (S,B) mas- (S,A,B,F) mes- (S) mest- (S,A) mast=,mest= (S,B) mas= (O) mist= (S) mose+ (B) mosi+ (S,A,B,F) ^mas- (S,A,F) ^mes-	verb	{intr:} bear, bring forth /$gk: τικτειν, γενναν$/ | {tr:} bear young | {qual:} be newly delivered, give suck	184b		155a-155b,138b,138b,138b,145b,145b,145b-146a,146a,146a,165b,152a,152a-152b,356b,60b			{"1": "bear, bring forth"}	6; 375; 1278; 607; 682; 2742; 1548; 880; 712; 2303; 693; 678; 1898				complete
27	(S,A,L,F) Gwlp (S,F) kwlp (B) Gwrp (S) G$^e^$lp-,Golp=,kolp= (L) Galp= (B) Gorp= (S,F) Golp+,kolp+ (Sa,A,L,F) Galp+ (B) Gorp+ (S) ^Galp-	verb	{tr:} uncover, open, reveal /$gk: αποκαλυπτειν$/ | (p c), who (or) which is uncovers, is bare	812a		829b-830b			{"1": "reveal"}	73; 614; 1780	37; 832	2615		complete+
28	(S,B) bal (A,L,F) bel	noun male	eye /$gk: οφθαλμος, ομμα$/	31b		19a	anatomy		{"1": "eye"}	93; 30; 458; 223; 1427; 424; 29				complete
29	(S) maaJe (A,F) meeJe (F) meJe,mhJi (L) meSte (Sa) meSt (B) maSJ (NH) meSJe *^<a href=extcodex I - The Prayer of the Apostle Paul;101;1;27;petempemeSJe narxwn satmeF;codex I - The Apocryphon of James;102;15;10;answtm Hrhei Hn nenmeSJe;codex I - The Apocryphon of James;102;15;18;answtm Hrhi Hn nenmeSJe aHnHumnos">Ext</a>^*,maJe *^<a href="ext codex II - The Gospel of Thomas;107;44;9;peteum maJe mmoF mareFswtm;codex III - The Gospel of the Egyptians;114;68;9;mpepeumaJe swtm eroF">Ext</a>^*"	noun male	ear /$gk: ους, ωτιον$/ | (as) handle (of basket)	212b		140a-140b	anatomy		{"1": "ear", "2": "(as handle of basket)"}	28				complete
30	(S,B) nau (L,F) neu (A,L) no (Sa) nw (O) naou (S,B) **anau (L,F) **aneu (A) **eno	verb	{intr:} look, behold |$ (no obj) /$gk: οραν, ιδειν, βλεπειν$/ |$$ (with [Je-]), see that, how |$ (c [e-], sometimes + ethic dat) |$ (with [e-]) dat commodi |$$ provide, seek out	233b		194b-195a			{"1": "look"}	458; 223; 1427; 28; 1154		210; 629		complete+
31	(S,A,L,O) noute (B,F) nouT (A) nounte (B,F) fT *^i e [fnouT]^* (S,NH) nT,*^in^* pnT *^<a href=ext Gospel of Judas;824;7;21;petmmau pe pnT etetnSmSe naF;Apocryphon of John;821;32;3;auJwk ebol HitotF mpepna mpnT nautogenhs nSa eneH pShre ntbarbhlw">Ext</a>^*"	noun male/female	god /$gk: θεος$/ | (as adj), godly, divine /$gk: θειος$/	230b		219b-220b	person		{"1": "god", "2": "divine"}	21			C9201	complete
32	(S,A,B,F,O) hi (S,A,L) hei (A,B,F) *hou	noun male	house /$gk: οικος, οικια$/ | household, family /$gk: οικος, οικια$/	66a		53a	construction		{"1": "house", "2": "household, family"}	1339		686		complete
33	(B) ouon (F) ouan (S,A,L,O) oun- (S,L) ounte- (S,B) ouonte- (F) ouante- (S) ounta= (S,A,L) ount$^e^$= (L) ounth= (B) ouonta= (F) ouanth=	verb	(vb), be |$ (without other vb) |$$ /$gk: ειναι$/ |$$ have /$gk: εχειν, αγειν$/ |$ (double suff S,A,L /*as with [mmn-]*/) |$ (with following [nte-]) |$ (with [mmo=] of person or thing having S,A,B) |$ (with [n-] dat S,A,B) |$ (with [mmau] S,A,L,B,F) | (auxil to other vb) | (with [e-], verbal)	481a		256a-257a			{"1": "be"}		1063			complete++
34	(S,A,L,B,F) ouwH (A) ouHw (B) ouoH,ouaH (S,B) oueH- (S,A,F) ouwH- (A,B,F,O) ouaH- (B) baH- (S,A,L,B,F) ouaH= (A) ouHa= (F) oueH= (S,A,L) ouhH+ (S) ouhhH+ (A) ouHh+ (B,F) oueH+ (S) ^ouaH- (S) **auw (A) **aou *^for [aouwH]^* (B) **ouoH	verb	put, set, be /*there*/ |$ {intr:} (S,B,F) |$ {tr:} /$gk: επιτιθεναι$/ | | {intr:} be placed, dwell /$gk: κατοικειν, κατασκηνουν, μενειν$/	505b		280b-281b,281b-282a,242a-243a,243a			{"1": "put, set, be"}	13; 1672; 2096; 1331; 1105 #drv880; 891 pole		1765		complete+
35	(S,O) eoou (A,L,F) eau (B,O) wou	noun male	honour, glory /$gk: δοξα$/	62a		530a-530b	concept		{"1": "glory"}	247				complete
36	(S) SaJe (Sa,A,L) SeJe (L) seJe (B) saJi (F) seJi	verb	{intr:} speak /$gk: λαλειν, λεγειν$/ | {tr:} (A,B), speak, say /$gk: λαλειν, ερευγεσθαι$/	612b		347b-350b			{"1": "speak"}	39; 42; 113; 60; 2045; 1924; 2031; 239 #drv1416				complete++
37	(S,A,L,B,F) Hwp (NH) kwp *^<a href=ext codex II - The Hypostasis of the Archons;109;90;22;aeirHote Je neeikhkaHhu auw aeikwp;codex II - The Hypostasis of the Archons;109;90;24;peJe parxwn Je etbe ou akkwp;codex II - On the Origin of the World;110;119;25;aukwp Ha nShn etHm paradeisos;codex II - On the Origin of the World;110;119;28;etbe tetnHrte de aHikwp ntariSipe;codex IX - The Testimony of Truth;142;46;19;adam de nau eroF aFkwp">Ext</a>^* (S,B) Hep- (L,F) Hap- (S,A,L) Hwp- (S,B) Hop= (A,L,F) Hap= (S,A,L,B,F) Hhp+"	verb	{intr:} be hidden, hide /$gk: λανθανειν, κρυπτειν$/ | {qual:} /$gk: κρυφαιος, αποκρυφος$/ | {tr:}  /$gk: κρυπτειν$/	695a		721b-722a,696a,669a			{"1": "hide"}	832; 301; 79; 1027	27; 73	120; 2230; 2120; 312		complete+
38	(S,L,F) wnH (Sf,F) wnaH (A) wnQ (L) wwnH (B,O) wnK (B) onK= (S,Sf) on$^a^$H+ (A) anQ+ (Sa,L) anH+ (L) aanH (B) onK+ (F) anaH+,an$^e^$H+	verb	{intr:} live /$gk: ζην, ζωοποιειν$/ | {tr:}	525a		529b-530a			{"1": "live"}	395; 544	1130; 118			complete++
39	(S,L,B,F,O) Jw (A,L) Jou (L) Jooue (S,A,L,B,F) Je- (S,A,F) Ji (F) Ja- (S,L) Joo= (S) Jit= (S) **Ji= (A,L,O) Ji= (A) Jei= (L,B) Jo= (B) Jot= (F) Ja$^a^$= (S) **aJi- (S,A,L,F) **aJi= (A,L,O) **eJi= (A) **eJei= (S,B,F) **aJe- (B) **aJo=,aJot= (S,L) ^Jat-	verb	{intr:} say, speak, tell /$gk: ερειν, αντειπειν$/ | {tr:} |$ /$gk: ειπειν, λεγειν, λαλειν$/ |$ as for saying | | sing (/*same ?*/ S,A,L,B,F) |$ {tr:}  /$gk: αδειν$/ |$ {intr:}  /$gk: αδειν, υμνειν$/	754a		770b-771b,736a-736b,755b,17a			{"1": "say, speak, tell", "2": "sing"}	42; 36; 113; 60; 365; 2280; 2590				complete+
40	(S,L) sHai (S) saHei (A) sQei,sQeei (L) sHeei (S,F) sHht (B) sKai,sai (F) sHei,seiHei,seiH,sHe,sei,set (S) sHai-,seH- (L) saH- (A) sQei- (B) sKe-,sKht-,sht- (F) sHe-,sHh-,sh-,sHet-,set-,sht- (S) sHais=,sHait=,saH=,sHa$^e^$i=,saHt=,seHt= (A) saQ=,sQeit= (L) saH= (B) sKht= (F) sHet=,sHht=,set= (S,L) shH+ (A) shQ+ (B) sKhout+ (F) sHhout+	verb	{intr:} write /$gk: γραφειν$/ | {tr:} |$ /$gk: γραφειν, ζωγραφειν, διαγραφειν$/ |$ register |$ draw, paint	381b		423b-425b,343a,343b-344a,344a			{"1": "write", "2": "register", "3": "draw, paint"}	1912				complete+
41	(S) He,Hee,Hhe (Sa) Hhie (A) Heeie (A,L) Heie (Sa) Haeie (Sa,B) Hei (B) Hhi (Sf,F) H$^h^$hi (F) H$^e^$ei (S) He= (S) Hhu+ (B) Hiwout+	verb	{intr:} |$ fall /$gk: πιπτειν$/ |$ light upon, find /$gk: ευρισκειν, τυγχανειν$/	637a		658a-659b			{"1": "fall", "2": "light upon, find"}	2058; 2127; 1191; 1679				complete+
42	(S,B,F) peJe- (A,L) paJe- (O) petSa-,peSa-	verb	what ... saith |$ say (+ suff S) |$ (with initial [m-]) |$ (with following nn) |$ (mostly + [Je-]) |$ (c [n-]) |$ (c [eHoun Hn-] S,F, more emphatic or formal than [n-]) |$ (gk ειπειν, λεγειν)	285a		293a-293b			{"1": "say"}	39; 36; 113; 60				complete++
43	(S,L) lo (S,F) la (S,L) **alok,alwtn (S,L) ** ****alo	verb	{intr:} |$ cease, stop /$gk: παυειν, κοπαζειν, αφισταναι$/ |$ cease, be ended, healed, (of sickness) /$gk: ιασθαι, υγιαζειν$/ |$ (followed by coordinated vb), cease (to do, be) | {tr /*refl ?*/:}	135a		125b-126b			{"1": "cease", "2": "heal"}					complete++
44	(S,L) Sphre (B) Sfhri (F) Sphri	noun male/female	wonder, amazement /$gk: θαυμα, τερας, σημειον$/ | do wonders (c [eire, iri]) | (as adj), wonderful	581a		597a-597b	concept		{"1": "wonder, amazement"}	285; 2267; 1158				complete++
45	(S) Stortr (L) Startr (A) Qtartre,Startre$* (B) Sqorter (F) Staltel,Starter (S) Strtr- (B) Sqerter- (S) Strtwr= (A) Qtrtwr= (B) Sterqwr= (S) Strtwr+ (L) Strtart+ (L) Htertart+ (A) Qtertart+ (B) Sterqwr+	verb	{intr:} be disturbed, troubled, in haste /$gk: ταρασσειν, θορυβεισθαι, σπουδαζειν$/ | | {qual:}  /$gk: θορυβεισθαι$/ | {tr:} disturb, cause to hasten /$gk: ταρασσειν$/	597b		571a-571b,594b-595a			{"1": "disturb"}	1504; 213; 982				complete++
46	(S,A,L) Sine (B,F) Sini (F) Si$^ni^$ (S,B) Sen- (S,F) Sent- (L) Sn- (S,A,L) Snt= (B,F,O) Sen= (F) Sent=	verb	{intr:} seek, ask /$gk: πυνθανεσθαι, επισκεπτεσθαι, ζητειν, ερωταν$/ | {tr:} |$ /$gk: ερωταν, εξεταζειν$/ |$ greet	569a		575a-575b,575b-576a			{"1": "ask", "2": "seek", "3": "greet"}	60; 329				complete+
47	(S,A,L,F) Gine (B) Jimi (F) Gimi,Gini,Jini (S,A,L,F) Gn- (S,F) Gen- (S) kn-,Gin- (Sf) Gm- (B) Jem- (F) Jin- (S,A,L) Gnt= (S,F) Gent= (S) knt=,Ghnt=,gn= (B) Jem= (F) Ght=,Jint=,Gn=,Ghn=	verb	{intr:} find /$gk: ευρισκειν$/ | {tr:}  /$gk: ευρισκειν, συμβαινειν, προσπιπτειν, τυγχανειν$/	820a		748a-748b,738a,804a			{"1": "find"}					complete++
48	(S,A,L,B,F,O) thr= (F) thl= (O) ter=	adjective	(adj with suff), all, whole, every /$gk: απας$/	424a		452a-452b			{"1": "all"}	1183				complete
49	(S,A,L,B,F) swk (B) swki (S,A,F) sk- (S,L,B,F) sek- (S,L,F) sak- (B) sok- (S,B) sok= (A,F) sek= (Sf,L,F) sak= (S) shk+ (S) ^sak-	verb	{intr:} flow (as water, hair), blow (as wind, smoke, generally) move on swiftly, glide, (also) draw, be drawn /$gk: ελκειν, παραρρειν, συρειν, φερεσθαι$/ | {tr:} |$ draw, beguile, gather, impel /$gk: ελκειν, εφελκειν, ελαυνειν$/ |$ protract (the fast), fast (S,B) | (refl S,L,B), draw aside, induce /$gk: εκκλινειν, φερεσθαι$/	325a		403b-407a,407a,354a-355a,355a			{"1": "flow as water", "2": "flow as hair", "3": "blow as wind, smoke", "4": "glide", "5": "draw", "6": "beguile", "7": "gather", "8": "impel", "9": "protract the fast", "10": "draw aside", "11": "induce"}	1833; 1396; 982; 407; 315; 1671; 361; 2520				complete+
50	(S,A,O) pe (B) fe (A,F) ph (S,L) *phue (A) *phoue (B) *fhoui (F) *phoui	noun female	heaven, sky /$gk: ουρανος$/ | | (adjectival phrases) | (compounds) | (with preposition) | (with m art + prep [e-])	259a		491a	astronomy		{"1": "sky", "2": "heaven"}		108; 267			complete++
51	(S,A,L,B,F) Halht (A) alht (S) *Hala$^a^$te (A,L) *Halete (A) *Haleete (A,F) *HaleT (B) *HalaT	noun male	flying creature, bird /$gk: ορνεον, ορνις, πετεινος$/	671b		649b	species		{"1": "bird", "2": "flying creature"}	2142; 2758				complete
52	(S,A,L) tbt (S) thbt,thFt (B) tebt (F) tubt,thbet	noun male	fish /$gk: ιχθυς$/ | catch fish | fish-catcher | fish-monger	401b		446a	species		{"1": "fish"}	84				complete
53	(S,L,F) Houn (A) Qoun (B) Koun (O) xoun	noun male	inward part (/*rarely except as advb or + prep*/) /$gk: εσωτερον$/	685b		642b	direction		{"1": "inward part"}	372; 2103				complete++
54	(S,A,L,B,F,O) bwl,bel-,bol=,$^bal=^$,bhl+ (S,A,L,B,F,O) ^bal-	verb	loosen, untie, (mostly tr) /$gk: λυειν$/ | melt | unstring | interpret, explain (scriptures, dreams &c) /$gk: διερμηνευειν$/ | be softened, persuaded | weaken, make faint | nullify (order, deed) | dissolve, destroy | pay	32a		26a-27b			{"1": "loosen, untie", "2": "melt", "3": "unstring", "4": "interpret, explain", "5": "be softened, persuaded", "6": "weaken, make faint", "7": "nullify", "8": "dissolve", "9": "destroy"}	614; 328 #drv2538; 139 #drv4236; 1208; 1889; 650 interpret; 856; 1802; 1124 vomit				complete++
55	(S,F) sooun (A,L) saune (L) snouwn (B) swoun,swounou (F) saoun,saou,souei (NH) sooune *^<a href=ext codex II - The Apocryphon of John;106;11;10;ntoF gar oukake natsooune pe;codex II - The Book of Thomas the Contender;112;138;18;aFouw on eFJi sooune apbaqos mpthrF">Ext</a>^* (S) soun-,soum- (S,A,L,B,F) souwn- (S,B,F) souen- (S,A,L,B,F) souwn= (L) seouwn=,snouwn="	verb	{intr:} know /$gk: ειδεναι, επιστασθαι, γινωσκειν$/ | {tr:} |$ /$gk: γινωσκειν$/ |$ know (sexually) |$ (with [Je-]) |$$ {intr:} |$$ {tr:}	369b	371a	410b-411b			{"1": "know", "2": "know sexually"}	56; 2875				complete++
56	(S) eime,eimme (A,L) mme (B) emi (F) eimi,imi (O) emi,mmi	verb	{intr:} know, understand |$ (without obj) /$gk: γινωσκειν, ειδεναι, συνειδεναι, συνιεναι, μανθανειν, νοειν$/ |$ (+ [Je]) |$ (with ethic dat) |$ (direct obj, as if constr /*rare ? incorrect*/) |$ (obj with [e-]) |$ (with [etbe-]) |$ (with [n-] B /*rare*/)	77b		35b-36a			{"1": "know"}	55; 2875; 1594				complete++
