key	key_word	key_deriv	pos	word	type	en	crum
6350	4	6348	3	(S,A,B) ^^^ ntn-	-	(meaning same)	362a
6351	4	6348	4	(B) ^^^ Ka-	-	redeem /*in exchange*/ for	362a
6352	4	6348	5	^^^ Hn-,^^^ Ken-	-	(meaning sim) | redeem from /*= [ebol Hn-]*/	362a
6353	4	0	6		HEADER	With following adverb:	362a
6354	4	6353	7	(B) ^^^ ebol	-		362a
6355	4	6353	8	(B) ^^^ ebol mmau	-	thence	362b
1970	4	0	9	(S,A,L,B,F) ^^ (A) swt	noun male	ransom, price /$gk: λυτρον, λυτρωσις, πρασις$/	362b
1971	4	0	10	(S,B) eire ns.,oi ns.	-	be, make redemption /$gk: λυτρωσιν ποιειν$/	362b
1972	4	0	11	(S) T s.	-	redeem /$gk: λυτρουσθαι$/	362b
1973	4	0	12	(S) T eps.,T mps.	-	pay for, as ransom	362b
1974	4	0	13	(S,B) Ji s.,Gi s.	-	get ransom	362b
1975	4	0	14	(S,L,B) reFs.	-	redeemer /$gk: λυτρωτης$/	362b
							
307	5	0	1	(S) ei	noun	coming, advent	70b
4145	5	0	2		HEADER	With following preposition:	70b
4146	5	4145	3	(S,A,L,B,F) ei e-	-	come to, (seldom of persons)	70b
4147	5	4145	4	(S) ^^ ern-	-	come to, arrive at	70b
4148	5	4145	5	(S) ^^ erat-	-	come to (superior or dignitary)	70b
4149	5	4145	6	(S,B,F) ^^ etn-,^^ etoot=	-	come into the hand of, (power of) /$gk: εμπιπτειν εις$/	70b
4150	5	4145	7	(S,B) ^^ eHren-	-	come against, to meet	70b
4151	5	4145	8	(S,A,B,F) ^^ eJn-	-	come upon, arrive at, be applicable to	70b
4152	5	4145	9	(S,B) ^^ n-	-	come to, (of persons)	71a
4153	5	4145	10	(S,B,F) ^^ nsa-	-	come after, to fetch	71a
4154	5	4145	11	(S,B) ^^ $^n^$naHren-	-	come before, into presence of (superior)	71a
4155	5	4145	12	(B) i oube-	-	come against, (oppose) /$gk: ανθισταναι$/	71a
4156	5	4145	13	(S,L,B,F) ^^ Sa-	-	come to, approach, (mostly persons)	71a
4157	5	4145	14	(B) i Ha-	-	come to, approach, (mostly persons)	71a
4158	5	4145	15	(B) ^^ Ha$^H^$tn-,^^ Katen-	-	come up to, near to	71a
4159	5	4145	16	(B) ^^ HiJen-	-	come up to, upon	71a
4160	5	0	17		HEADER	With following adverb:	71a
4161	5	4160	18	(S,A,B,F) ^^ ebol	-	come, go forth, be displayed | (merely) come, go	71a
4162	5	4160	19	(S,A,B,F) ^^ ebol e-	-	come forth (to places, things) | (merely) come to | sue, proceed against (/*in S,F legal texts*/)	71b
4163	5	4160	20	(S,A,B,F) ^^ ebol Hn-,^^ ebol Ken-	-	come forth from	71b
4164	5	4160	21	(S,B) ^^ ebol Hitn-	-	come through, forth from, quit | (sometimes [eb. Ken-] like [eb. Hitn-]), pass through	71b
5493	5	4160	22		HEADER	[ei ebol] with various preps	71b
5494	5	5493	23	(B) ^^^ eHren-	-		71b
5495	5	5493	24	(S,B) ^^^ eJn-	-		71b
5496	5	5493	25	(S,B) ^^^ Ha-	-		72a
5497	5	5493	26	(S,B) ^^^ Hi-	-		72a
5498	5	5493	27	(S) ^^^ Hht=	-	/$gk: εις συναντησιν, προφθανειν$/	72a
5499	5	5493	28	(S) ^^^ Hiqh	-		72a
4165	5	4160	29	(S) ei ebol (S) ****Ginei ebol (B) ***Jini ebol	noun male	coming forth, departure from /$gk: εξοδος, διεκβολη$/	72a
4166	5	4160	30	(S,A,B,F) ^^ epesht	-	come down | (nn m), descent	72a
4167	5	4160	31	(B) ^^ epSwi	-	come, go up	72a
4168	5	4160	32	(S) ^^ epaHou,^^ nsapaHou (B) ^^ HifaHou	-	come after, go back	72a
4169	5	4160	33	(S,B) ^^ eqh,^^ etHh	-	come forward, progress /$gk: προκοπτειν$/ | (nn m), advancement /$gk: προκοπη$/	72a
4170	5	4160	34	(S,A,B,F) ^^ eHoun,^^ eKoun	-	come in, enter | (nn m), coming in, entry	72a
5500	5	4170	35	ma n..ei eH.	-		72b
5501	5	4170	36	Gin..ei eH.	-		72b
4171	5	4160	37	(S,A,B,F) ^^ eHrai	-	come up | grow up | (often merely) come	72b
4172	5	4171	38	(S,B,F) ..ei eHrai. eJn-	-	(/*where [eH.] strengthens [eJn-]*/), come upon, up upon, reach	72b
4173	5	4160	39	(S,A,B,F) ^^ eHrai,^^ eKrai	-	come down, descend | (nn S,B), coming down, descent /$gk: καταβασις$/	73a
4174	5	4173	40	(S,B) ..ei eHrai. eJn-	-	come /*down*/ upon, befall	73a
							
8387	6	0	1		HEADER	With following preposition:	779a
8388	6	8387	2	^^^ e-	-	for, to	779a
8389	6	8387	3	^^^ eJn-	-		779b
8390	6	8387	4	^^^ mn-,^^^ nem-	-		779b
8391	6	8387	5	^^^ n-	-	(mostly ethic dat) | beget | acquire	779b
8392	6	8387	6	(B) ^^^ nten-	-		779b
8393	6	8387	7	(S) ^^^ Ha-	-		779b
8394	6	8387	8	^^^ Hn-,^^^ Ken-	-		779b
3882	6	0	9	(S,A,L,B,F) ^^ (S) mJo *^error^*	noun male	birth, begetting /$gk: γενεσις, γεννημα$/ | possession, gain /$gk: κτησις, κτημα, κερδος$/	779b
3883	6	0	10	atJpoF	-	unbegotten	780a
3884	6	0	11	(S,B) reFJpo	-	begetter, maker	780a
3885	6	0	12	GinJ.,JinJ.	-	begetting, generation /$gk: γενεσις$/	780a
							
112	7	0	1	(B) *anaHwr (S) *anaHwwr *^<a href=ext Discourse on Abbaton by Timothy;1069;7;14;pshr de panaHwwr et mhH nna Hi mntSanHthF nim">Ext</a>^*"	noun	storehouses	24b
							
6895	8	0	1		HEADER	With following preposition or adverb:	482b
6896	8	6895	2	^^^ e-	-	(acc) | toward, upon	482b
6897	8	6895	3	(S) ^^^ ern-	-		483a
6898	8	6895	4	(S) ^^^ eJn-	-		483a
6899	8	6895	5	^^^ n- *^dat^*	-		483a
6900	8	6895	6	(S) ^^^ nsa-	-	toward, upon	483a
6901	8	6895	7	(B) ^^^ oube-	-		483a
6902	8	6895	8	(S) ^^^ ebol	-		483a
6903	8	0	9	(O) ouan-	-	(p c)	483a
2588	8	0	10	(S,A,B) ^^	noun male	opening	483a
2589	8	0	11	(B) Jin..ou.	-	act of opening	483a
							
5120	9	0	1		HEADER	With following preposition:	575a
5121	9	5120	2	(S,A,L,B,F) ^^ e-	-	{intr:} (dat commodi), accept, restrain self, take (/*mostly B*/) /$gk: ανεχειν, υπομενειν, υποφερειν$/ | {tr:} take to self, contain	575a
5122	9	5120	3	(S,B) ^^ eJn-	-	on behalf of, far	575b
5123	9	5120	4	(S,A,B,F) ^^ n-	-	(dat) | expend on	575b
5124	9	5120	5	(S,Sa,B,F) ^^ ntn-	-	from | (meaning doubtful)	575b
5125	9	5120	6	(S,A) ^^ naHrn-	-	before	575b
5126	9	5120	7	(S,B,F) ^^ Ha-,^^ Ka-	-	for (price of) | (as adj)	575b
5127	9	5120	8	(S) ^^ Hen-,^^ Ken-	-	(buy) with	576a
5128	9	5120	9	(S) ^^ Hitn-	-	from	576a
7372	9	0	10		HEADER	With following adverb:	576a
7373	9	7372	11	(B) ^^^ ebol	-		576a
7374	9	7372	12	^^^ eHoun,^^^ eKoun	-	accept	576a
7375	9	7372	13	(B) ^^^ mmau	-	take away	576a
3031	9	0	14	(S,B) ^^	noun male	acceptance /$gk: αποδοχη, αντιληξις$/ | purchase /$gk: αγορασμος, κτησις$/	576a
3032	9	0	15	(S,B) atSwp,atSop=	-	uncontainable, illimitable /$gk: αχωρητος$/	576a
3033	9	0	16	(S,A,B) reFS.	-	receiver	576a
7376	9	3033	17	(B) metr.	-		576a
3034	9	0	18	(S,B) GinS.,JinS.	-	receiving, acceptance /$gk: αντιληξις$/	576a
3035	9	0	19	(S,B) Sops (F) Saps	noun female	reception, entertainment /$gk: δοχη$/	576a
3036	9	0	20	(S) Swps	noun	seizing, impressing	576b
							
2884	10	0	1	(S,B,F) neS- *^*+ suff [ta-, tek-, teb-] &c^*	-		541b
							
4127	11	0	1	^^ eJn-,^^ eHrai eJn-	-	rule, have power over /$gk: συλλαμβανεσθαι, κρατειν$/	10a
4128	11	0	2	^^ mn-,^^ nem-	-	hold with, support	10a
4129	11	0	3	^^ nsa-	-	hold, abide by	10a
4130	11	0	4	^^ HiJn-	-	possess, master | hold back, detain /$gk: συνεχειν$/	10a
25	11	0	5	(S,B,F) ^^	noun male	power, possession /$gk: κρατος$/	10a
26	11	0	6	(S,A,B) ata.	adjective	unrestrained, uncontrollable /$gk: ακολαστος, απειθης$/	10a
27	11	0	7	(S,B) mntata.,metata.	noun female	uncontrolledness, incontinence /$gk: ακρασια, ακολασια$/	10b
28	11	0	8	(S) reFa.	noun	self-controlled person /$gk: εγκρατης$/	10b
29	11	0	9	(S) Gina.	noun female	control, restraint	10b
							
6538	12	0	1		HEADER	tr :	402a
6539	12	6538	2	^^^ Jekas	-		402a
6540	12	6538	3	^^^ Hina	-		402a
6541	12	6538	4	^^^ tare	-		402a
4833	12	0	5		HEADER	With following preposition:	402a
4834	12	4833	6	^^ e-	-		402a
4835	12	4833	7	^^ etbe-	-	for, concerning	402a
4836	12	4833	8	^^ eJn-	-	upon, for	402b
4837	12	4833	9	(S) ^^ n- *^dat^*	-		402b
4838	12	4833	10	(B) ^^ nsa-	-	for	402b
4839	12	4833	11	(B) ^^ oute-	-		402b
4840	12	4833	12	^^ Ha-,^^ Ka-	-	on behalf of	402b
4841	12	4833	13	(B) ^^ Ha-	-	to	402b
2204	12	0	14	(S,B,F) ^^ (S,F) twbaH	noun male	prayer /$gk: δεησις, εξιλασμος, αιτησις, παρακλησις$/	402b
2205	12	2204	15	(S,L,B) reFt. (L) remeFt.	-	one who prays, suppliant /$gk: προσαιτης$/	402b
2206	12	2205	16	(S) mntr.	-	beggary	402b
2207	12	2204	17	(B) Jint.	-	entreaty	402b
							
5129	13	0	1		HEADER	With following preposition:	578a
5130	13	5129	2	(S,L,B,F) ^^ e-	-	for	578b
5131	13	5129	3	(S,B) ^^ eJn-	-	upon	578b
5132	13	5129	4	(S,A,B,F) ^^ mn-,^^ nem-	-	with	578b
5133	13	5129	5	(S,A,B) ^^ n-	-	in |$ ([mmo=] S,A,L,B,F), to, in |$ {qual:} |$ ([mmoF] adverbial) | (dat S,A,L,B,F,O) |$ (+ [e-]), for, as |$ (+ [n-], sim) | (+ predicate)	578b
7400	13	5129	6	(S,A,L,B,F) ^^^ mmo=	-	to, in	578b
5134	13	5129	7	(S,B) ^^ oube-	-	toward	579a
5135	13	5129	8	(S,L,B) ^^ oute-	-	betwixt	579a
5136	13	5129	9	(S,L,B,F) ^^ Sa-	-	to, till	579b
5137	13	5129	10	(S,F) ^^ Ha- (B) ^^ Ka-	-	under	579b
5138	13	5129	11	(B) ^^ Ha-	-	to	579b
5139	13	5129	12	(S,B) ^^ Hi-	-	on, in	579b
5140	13	5129	13	(S,A,L,B,F) ^^ Hn-,^^ Ken- (F) ^^ Hi-	-	in	579b
5141	13	5129	14	(S) ^^ Harn-	-	under, in	579b
5142	13	5129	15	(S,B) ^^ Hatn-,^^ Katen-	-	under, with	579b
5143	13	5129	16	(S,B,F) ^^ Hitn-	-	through, by	580a
5144	13	5129	17	(S,B) ^^ HiJn-	-	upon	580a
5145	13	0	18		HEADER	With following adverb:	580a
5146	13	5145	19	(S,A,L,B,F) ^^ mmau	-	there	580a
3046	13	0	20	^^	noun male	being	580a
3047	13	0	21	(S,B) atS.	-	not being, undwelt in	580a
3048	13	0	22	(S,A,L,B,F) ma nS.	-	dwelling place /$gk: οικος, οικια$/ | (esp) monk's cell, (or) group of cells /$gk: κελλιον$/	580a
3049	13	0	23	(S,B) GinS.,JinS.	-	act, state of being	580b
3050	13	0	24	(S,L,F) eSwpe (A) eQwpe (Sf,B) eSwp (Sf,F) eSwpi (F) eSop,Swp,Sop	conjunction	if it befall, if, when /$gk: εαν, οταν, επαν, ει$/	580b
							
7408	14	0	1		HEADER	With prep:	586b
7409	14	7408	2	^^^ e-	-	be early to, at	586b
7410	14	7408	3	^^^ erat=	-		586b
7411	14	7408	4	(S) ^^^ Sa-	-		586b
3082	14	0	5	(S,A,B,F) ..Sw.,..Qw.	noun	morning /$gk: πρωι, ορθρον$/	586b
3083	14	0	6	(S,B,F) Sorp (L,F) Sar$^e^$p (A) Qarp (S) S$^e^$rp- (A) Qrp- (S) ****Sorpe (B) ****Sorpi (F) ****Sarpi	-	(as nn), earliest, first /$gk: πρωτος, προτερος, αρχαιος$/ | (as adj)	587a
3084	14	0	7	(S,A,L,B,F) n..Sw.,n..Qw. (S,B) n..So.	adverb	early	587b
8763	14	0	8	n..So.,..So.	-	at first, formerly /$gk: πρωτος, εν πρωτοις$/	587b
8764	14	8763	9	..nS. n-,S. n-	-	before	587b
8765	14	8763	10	..nS. e-	-	(sim)	587b
3085	14	0	11	(S) kata ..So.	-	as formerly	587b
3086	14	0	12	(S,A,L) Jin$^n^$..So. (S,F) JineS. (Sf,F) nJinS. (B) isJenS. (NH) Jinn..Sa. *^<a href=ext codex I - The Prayer of the Apostle Paul;101;1;32;ntarouplasse mmaF Jin nSarp;codex I - The Apocryphon of James;102;9;33;eSSe arwtn arais Jin nSarp">Ext</a>^*"	-	from the beginning	587b
3087	14	0	13	(S,A,L,B,F) r ..So.,er ..So.,o nS.,oi nS.	-	be before, first, hasten	588a
7412	14	3087	14	^^^ e-	-		588a
7413	14	3087	15	(S) ^^^ ebol e-	-		588a
7414	14	3087	16	^^^ eHoun e-	-		588a
7415	14	3087	17	(S) ^^^ eJn-	-		588a
7416	14	3087	18	(S,A,L,B,F) ^^^ n- *^vbal^*	-		588a
7417	14	3087	19	(S) r Srp n-	-	| (without [n-])	588a
7418	14	3087	20	(B) ^^^ KaJen-	-		588b
7419	14	3087	21	..r S.	noun	being first, early	588b
7420	14	3087	22	(S) mai..r S.	-	loving to be first /$gk: φιλοπρωτευειν$/	588b
7421	14	3087	23	(B) reF..er S.	-		588b
3088	14	0	24	(S) mntSrp-	-		588b
3089	14	0	25	(S) GinSwrp	-	state of being early	588b
							
1576	15	0	1	(S,B,F) Tren=$	-	give name, call /$gk: ονομαζειν$/ | (with [r.] as 2d acc)	298a
5989	15	1576	2	^^^ e-	-	give name to	298a
5990	15	1576	3	(S) ^^^ eJn-,^^^ eHrai eJn-	-	(meaning same)	298a
5991	15	1576	4	(B) ^^^ eHoun	-	give in, inscribe name /$gk: απογραφεσθαι$/	298a
1577	15	0	5	(S) atT r.	-	unnamed	298a
1578	15	0	6	moute epr.	-	call a name, name, denominate	298a
1579	15	0	7	(S) taue rin=	-	pronounce name	298a
5992	15	1579	8	^^^ Je-	-		298a
5993	15	1579	9	^^^ n- *^dat^*	-	/$gk: ονομαζειν$/	298a
1580	15	0	10	(S) Ji r.	-	take name, be named	298a
1581	15	0	11	(S) rmnr.	-	office bearer, dignitary	298a
1582	15	0	12	(S) Hoou nr.	-	official, important day	298b
							
5375	16	0	1		HEADER	With following preposition:	789a
5376	16	5375	2	(S,A,L,B,F) ^^ e-	-	over, above	789a
5377	16	5375	3	(S,A,L,B) ^^ eJn-	-	over, upon	789a
5378	16	5375	4	(S,A,B) ^^ n-	-	(dat) | as for as | in	789a
5379	16	5375	5	(S) ^^ ntn-	-	with, for	789b
5380	16	5375	6	(B) ^^ naHren-	-	beside, before	789b
5381	16	5375	7	(B) ^^ oube-	-	toward	789b
5382	16	5375	8	(S,B) ^^ Sa-	-	up to	789b
5383	16	5375	9	(B) ^^ ebol Ha-	-	from off	789b
5384	16	5375	10	(S,A,L,B,F) ^^ Hn-,^^ Ken-	-	in, among	789b
5385	16	5375	11	(S,B) ^^ HiJn-	-	upon	789b
5386	16	0	12		HEADER	With following adverb:	789b
5387	16	5386	13	(B) ^^ epSwi	-	upward	789b
5388	16	5386	14	(S,L,B,F) ^^ eHrai,^^ eHrhi,^^ aHrhi	-	up	789b
3914	16	0	15	(S,A,L,B,F) ^^	noun male	height, top /$gk: υξος, υξωμα, υπεροχη, επαρσις$/	790a
3915	16	0	16	(S,L,B,F) Jise nHht,G. nHht	-	be high hearted, vain /$gk: φυσιυσθαι, τυφουσθαι$/ | (nn m) /$gk: φυσιωσις$/	790a
3916	16	0	17	(S) Jose	noun male/female	exalted person, place	790a
							
3912	17	0	1	(S,A,L,B,F) r nJ.,o nJ.	-	be lord, rule /$gk: κυριευειν$/	788a
8458	17	3912	2	^^^ e-	-	over	788a
8459	17	3912	3	^^^ n-	-		788a
8460	17	3912	4	^^^ HiJen-	-		788a
3913	17	0	5	mntJ.	-	lordship	788a
							
8866	18	0	1	(S,NH) at..rro. *^<a href=ext Gospel of Judas;824;21;23;eT nnepna ntnoG ngenea natrro;codex II - On the Origin of the World;110;125;2;euo natrro;codex II - On the Origin of the World;110;125;5;pmaHFtoou de ngenos ouatrro pe nteleion">Ext</a>^*"	-	without king	0a
8867	18	8866	2	(NH) mnt..atrro. *^<a href=ext codex II - On the Origin of the World;110;127;13;senabwk de an eneH eHoun etmntatrro">Ext</a>^*"	-		0a
1589	18	0	3	(S,A,L,B,F) mntr.,mntero *^oftenest^*,metouro (S) *mntrrwou,mnterrwou (A) *mntrrai (B) *metourwou	-	kingdom, reign /$gk: βασιλεια, τυραννις$/	299b
1590	18	0	4	r ..rro.,er ..ouro.,el ..erra.,r ..ero. *^<a href=ext Gospel of Judas;824;5;4;oude mn laoue nstratia naggelos nnsiou nar ero eJn tgenea etmmau;Gospel of Judas;824;16;5;etreF r ero eHrai eJwF">Ext</a>^*"	-	be king, reign /$gk: βασιλευειν$/	299b
5994	18	1590	5	^^^ eJn-	-	reign over	299b
5995	18	1590	6	^^^ eHrai eJn-,^^^ eHrhi eJn-	-		299b
5996	18	1590	7	^^^ HiJn-	-		299b
5997	18	1590	8	^^^ n-	-	(of time)	299b
5998	18	0	9	eire nr.,iri nour.	-	{tr:} make king /$gk: βασιλευειν, βασιλεα ποιειν$/	299b
							
3618	19	0	1	H. ei e-	-	come to senses	714a
3619	19	0	2	H. bwwn	-	evil-hearted	714a
3620	19	0	3	(S,B,F) H. nouwt	-	single heart, one mind /$gk: ομονοια$/	714a
3621	19	3620	4	mntH.,metH.	-	unanimity	714a
3622	19	0	5	(S,A,L,F) H. snau (B) H. b	-	two hearts, double minded /$gk: διξυχος$/	714b
3623	19	3622	6	r H.,er H.	-	be of two minds, doubtful /$gk: δισταζειν$/	714b
3624	19	0	7	(B) H. pwni,metH. pwni	-	stony-heartedness	714b
3625	19	0	8	(S,A) H. Shm	-	small, faint heart, impatient /$gk: ολιγοξυχος$/	714b
3626	19	3625	9	(S) mntH.	-	timidity, impatience /$gk: ολιγοξυχια$/	714b
8723	19	3625	10	rH.	-	/$gk: ολιγοξυχειν, ολιγωρειν$/	714b
3627	19	0	11	(S,A,L,B,F) atH.	-	without mind, senseless /$gk: αφρων, ανοητος, ασυνετος$/	714b
3628	19	0	12	(S,A,B,F) balH.	-	open, simple-minded /$gk: ακακος$/	715a
3629	19	0	13	(S) marH.	-	with bound, closed heart, guileful	715a
3630	19	0	14	(S,A,L,B,F) rmnH.	-	man of heart, wise man /$gk: σωφρων, συνετος, επιστημων$/	715a
3631	19	3630	15	mntr.	-	wisdom, understanding	715a
3632	19	3630	16	r ..rmnH.	-	/$gk: φρονειν, συνιεναι$/	715a
3633	19	0	17	(S,B,F) Ss nH.,S$^e^$ nH. (F) Si nH.	-	grief /$gk: οδυνη$/	715a
3634	19	0	18	(S,A,L,B,F) kw nH.,ka H.	-	set heart, trust /$gk: πειθειν, ελπιζειν$/ | (as nn m), confidence	715b
8025	19	3634	19	^^^ e-	-	upon	715b
